,Name,Nganh,Khu vuc,Dia Chi,Phone
13,Phụ Tùng Ô Tô Bình Triệu - Công Ty TNHH Phụ Tùng Ô Tô Bình Triệu,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"9/2 Đường Số 8, P. Hiệp Bình Chánh, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)",0917 914 917                            
14,Phụ Tùng Ô Tô Sinh Tân - Công Ty TNHH Thương Mại Dịch Vụ Sinh Tân,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"124-126 Lê Hoàng Phái, P. 17, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM)","(028) 38942133, 090.999.2830                  "
15,Phụ Tùng Ô Tô Xuân Bảo - Công Ty TNHH Phụ Tùng Ô Tô Xuân Bảo,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"495 Kinh Dương Vương, P. An Lạc, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM)",0909 689 663                            
16,Điện Tử Hoa Việt - Công Ty TNHH SX Và TM XNK Công Nghệ Điện Tử Hoa Việt,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hưng Yên,"Thôn Đỗ Hạ, X. Quang Vinh, H. Ân Thi, Hưng Yên","0375 996 348 , 0344 350 883 ( Mr Cao )  "
17,Lốp Xe Phi Long - Công Ty Ô Tô Phi Long,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"1692 Mỹ Phước Tân Vạn, TP. Thủ Dầu Một, Bình Dương",0975 76 77 77 – 0975 76 77 78           
18,Chubu Engineering Việt Nam - Công Ty TNHH Chubu Engineering Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"Đường Số 6 - KCN Nhơn Trạch III - Giai Đoạn 2, TT. Hiệp Phước, H. Nhơn Trạch, Đồng Nai","(0251) 3686072, 0785 170 787                   "
19,Cơ Khí An Việt - Doanh Nghiệp Tư Nhân Sản Xuất Thương Mại An Việt,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hà Nội,"Số 15 Tập Thể Xây Lắp Điện, P. Phú Lương, Q. Hà Đông, Tp. Hà Nội","(024) (024)62946855, 0913 383 189             "
20,Khuôn Dập Đồng Nai - Công Ty TNHH Cơ Khí Chính Xác HDP,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"Số 3979, Tổ 5, KP Tân Cang, Phừơng Phước Tân, Thành phố Biên Hoà, Đồng Nai","0909 902 715, 0908 232 965              "
21,Garage Ô Tô Sáu Thanh - Công Ty TNHH MTV Thương Mại Dịch Vụ Ô Tô Sáu Thanh,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"Số 20A, Tổ 1, KP. Khánh Long, P. Tân Phước Khánh, TX. Tân Uyên, Bình Dương","(0274) 652 0528, 0934 771 255                  "
22,Xe Chuyên Dụng Cao Thanh Đạt - Công Ty Cổ Phần Thiết Bị Môi Trường Cao Thanh Đạt,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hưng Yên,"Khu Công Nghiệp Tân Quang, Xã Tân Quang, Huyện Văn Lâm, Hưng Yên","(024) 63293734, 0985 452 109                  "
23,Thiết Bị Định Vị Sông Bé Auto - Hợp Tác Xã Dịch Vụ Vận Tải Sông Bé,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"273 KP. Đông Tư, P. Lái Thiêu, TP. Thuận An, Bình Dương",0901 423 638                            
24,Toyota Long Biên - Công Ty TNHH Toyota Long Biên,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 7-9 Đường Nguyễn Văn Linh, Tổ 17, P. Gia Thụy, Q. Long Biên, Hà Nội",098 722 3379                            
25,Anh Thi Auto - Hộ Kinh Doanh Anh Thi,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"401 An Dương Vương, P. 3, Q. 5, Tp. Hồ Chí Minh (TPHCM)",0903 863 082                            
26,Cải Tạo Thiết Kế Đóng Mới Thùng Tải - Công Ty TNHH Hồng Khải Nguyễn,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"195 Lê Hồng Phong, P. Phú Lợi, TP. Thủ Dầu Một, Bình Dương","(0274) 3636936, Hotline: 0906 37 54 55         "
27,Phụ Tùng Ô Tô Xe Máy Luyện Luân Hưng - Công Ty Trách Nhiệm Hữu Hạn Luyện Luân Hưng,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"CCN Thanh Oai, H. Thanh Oai, Hà Nội",(024) 3972391                                 
28,Phụ Tùng Ô Tô Nguyễn Hoàng - Công Ty TNHH Thương Mại Dịch Vụ Ô Tô Nguyễn Hoàng,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"52/8A Đường HT31, Tổ 07, KP. 01, P. Hiệp Thành, Q. 12, Tp. Hồ Chí Minh (TPHCM)","(028) 66827649, Hotline: 0938.700.858         "
29,Chi Nhánh Công Ty TNHH SXTM Phương Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bắc Giang,"28 Giáp Hải 1, Xương Giang, TP. Bắc Giang, Bắc Giang",Hotline: 0982 577 565                   
30,Phụ Tùng Ô Tô ý Tất Đạt - Công Ty TNHH Thương Mại Linh Phụ Kiện Ô Tô & Ô Tô ý Tất Đạt,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Quốc Lộ 3, Phố Lộc Hà, Mai Lâm, Đông Anh, Hà Nội",(024) 2216.1638                               
31,Phụ Kiện Xe Hơi SKYAUTO - Công Ty TNHH SKYAUTO Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 4, Ngõ 8, Đại Lộ Thăng Long, Mễ Trì Thượng, Nam Từ Liêm, Hà Nội",0988 470 212                            
32,Phụ Tùng Ô Tô Hương Auto Part - Công Ty TNHH MTV Hương Auto Part,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"Q. 12, Tp. Hồ Chí Minh (TPHCM)","(0297) 3868 336, 0856 467 727                  "
33,Phụ Tùng Ô Tô Minh Thành - Công Ty TNHH Đầu Tư Thương Mại Phát Triển Minh Thành,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hải Phòng,"155 Văn Cao, Ngô Quyền, Tp. Hải Phòng",096 200 5555 - 098 902 5881             
34,Phụ Tùng Ô Tô Đắc Yến - Công Ty TNHH Đắc Yến,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"Số 403 Tô Ngọc Vân, P. Thạnh Xuân, Q. 12, Tp. Hồ Chí Minh (TPHCM)","(028) 2215 6122, 2215 6121                    "
35,Thiết Bị Ô Tô Hoàn Xa - Công Ty TNHH Hoàn Xa,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 3-5, Nguyễn Văn Linh, P. Gia Thụy, Q. Long Biên, Hà Nội",(024) 73036866                                
36,Công Ty TNHH Phụ Tùng Ô Tô á Âu,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"928 Quốc Lộ 1A, KP. 4, P. Linh Trung, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)",0902939364                              
37,Công Ty TNHH LEGE Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bắc Ninh,"Lô G11, KCN Quế Võ, P. Vân Dương, TP. Bắc Ninh, Bắc Ninh",(0222) 363 4246                                
38,Công Ty CP SX Phụ Tùng Ô Tô Và Thiết Bị Công Nghiệp JAT,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bắc Ninh,"Lô II, 8.2 Khu Công Nghiệp Quế Võ II, X. Ngọc Xá, H. Quế Võ, Bắc Ninh",(0222) 3623068                                 
39,Công ty TNHH Maruei Việt Nam Precision,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"Số 9, Đại Lộ Độc Lập, KCN Việt Nam - Singapore, P. Bình Hòa, TP. Thuận An, Bình Dương",(0274) 3782133                                 
40,Công Ty CP Innotek,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bắc Ninh,"Lô II-4.1, KCN Quế Võ 2, X. Ngọc Xá, H. Quế Võ , Bắc Ninh",(0222) 3623318                                 
41,Phụ Tùng Xe Máy Mai Văn Đáng - Công Ty TNHH Mai Văn Đáng,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Nam Định,"Khu Công Nghiệp Hòa Xá, Phường Mỹ Xá, Thành Phố Nam Định, Nam Định","(0228) 3671811, 0913006915, 0913913956         "
42,Công Ty Hữu Hạn Công Nghiệp Kaifa Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"Khu Công Nghiệp Hố Nai, X. Hố Nai 3, H. Trảng Bom, Đồng Nai",(0251) 3671704                                 
43,FUTU1 - Công ty cổ phần phụ tùng máy số 1,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Thái Nguyên,"Đường 3/2, Tổ 10, P. Mỏ Chè, TP. Sông Công, Thái Nguyên",(0208) 3862205                                 
44,Công Ty TNHH APM Springs (Việt Nam),"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"25 Đại Lộ Tự Do, KCN Việt Nam - Singapore, P. Bình Hòa, TP. Thuận An, Bình Dương",0974353432                              
45,Thiết Bị Ô Tô Hoàn Xa - Công Ty TNHH Hoàn Xa,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 3-5, Nguyễn Văn Linh, P. Gia Thụy, Q. Long Biên, Hà Nội",(024) 73036866                                
46,Công Ty TNHH APM Springs (Việt Nam),"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"25 Đại Lộ Tự Do, KCN Việt Nam - Singapore, P. Bình Hòa, TP. Thuận An, Bình Dương",0974353432                              
47,Công Ty TNHH Một Thành Viên Thương Mại Thiên Tường,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 54 Ngõ 381 Nguyễn Khang, P. Yên Hòa, Q. Cầu Giấy, Hà Nội",(024) 66841259                                
48,Công Ty TNHH Việt Nam SUZUKI,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"Đường Số 2, KCN Long Bình, P. Long Bình, TP. Biên Hòa, Đồng Nai",(0251) 3838707                                 
49,Đại Lý Thanh Xuân Ford - Công Ty TNHH MTV Kinh Doanh Ô Tô Thanh Xuân,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 88 Nguyễn Xiển, Q. Thanh Xuân, Hà Nội",0935580000                              
50,Công Ty Cổ Phần Ô Tô TTC,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 90 Lạc Nghiệp, P. Thanh Nhàn, Q. Hai Bà Trưng, Hà Nội",(024) 39729188                                
51,Công Ty TNHH MTV Gia Khoa,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"4B QL 1A, KP. 1, KBT. Thạnh Xuân, P. Thạnh Xuân, Q. 12, Tp. Hồ Chí Minh (TPHCM)",0901189156                              
52,Công Ty CP Vật Tư Thiết Bị Và Phụ Tùng TDN,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Ngõ 58 Ngách 45, Phố Trần Bình, P. Mai Dịch, Q. Cầu Giấy, Hà Nội",0976389396                              
53,Phụ Tùng Hồng Phát - Công Ty CP Đầu Tư Phát Triển Kỹ Thuật Công Nghệ Và TM Hồng Phát,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 6 BT1 KĐT Resco Phạm Văn Đồng, P. Xuân Đỉnh, Q. Bắc Từ Liêm, Hà Nội",(024) 36452704                                
54,Công Ty Cổ Phần Thương Mại Và Kỹ Thuật Giang Vinh,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"P604-CT4, KĐT Mỹ Đình II, Lê Đức Thọ, P. Mỹ Đình 2, Q. Nam Từ Liêm, Hà Nội",(024) 22111535                                
55,Công Ty TNHH Du Lịch Và Thương Mại Đặng Gia,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"138 Dương Đình Nghệ, Cầu Giấy, Hà Nội",0983092899                              
56,Công Ty TNHH Công Nghiệp Kao Minh,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"Đường Số 2, KCN Hố Nai 3, H. Trảng Bom, Đồng Nai",(0251) 6278666                                 
57,Công Ty Cổ Phần Thiết Bị TEARU Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"16/2A, Tân Thới Nhất 8, P. Tân Thới Nhất, Q.12 Tp. Hồ Chí Minh (TPHCM)",0983 690 096                            
58,Công Ty TNHH MTV Kinh Doanh Ô Tô Thăng Long,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 105 Láng Hạ, P. Láng Hạ, Q. Đống Đa, Hà Nội",(024) 35627653                                
59,Công Ty TNHH XNK Quốc Tế Duy Tân,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 14 - 279 Trần Khát Chân, Hai Bà Trưng, Hà Nội",(024) 37866666                                
60,Công Ty CP Truyền Thông Dữ Liệu Và Thanh Toán An Du,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 11 Phạm Hùng, P. Mỹ Đình 2, Q. Nam Từ Liêm, Hà Nội",(024) 37686762                                
61,Công Ty Cổ Phần Đầu Tư Thương Mại Ford An Đô,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"168 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",0237 505 055                            
62,Công Ty TNHH Xuất Nhập Khẩu Thiết Bị Và Phụ Tùng DC Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 2, TDP Nhang, P. Xuân Đỉnh, Q. Bắc Từ Liêm, Hà Nội",(024) 37502743                                
63,Công Ty Cổ Phần Thiết Bị Phụ Tùng & Vận Tải Việt Phong,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hải Phòng,"762 Đường Trần Hưng Đạo, P. Đông Hải 1, Q. Hải An, Tp. Hải Phòng",(0225) 3262599                                 
64,Công Ty Cổ Phần Xuất Nhập Khẩu Quốc Tế Nội Bài,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Thôn Mai Nội, X. Mai Đình, H. Sóc Sơn, Hà Nội",0969129158                              
65,Công Ty TNHH Sản Xuất Và Thương Mại Khang Thịnh,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"VPGD: Tòa nhà An Huy, Lô 1+2 GD1, KCN Ngọc Hồi, K14 Đường Ngọc Hồi, H. Thanh Trì, Hà Nội","(024) 38235235, 36811428                      "
66,Cửa Hàng Phụ Tùng Điện Lạnh Gia Nguyễn,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"18 Tam Trinh, Q. Hai Bà Trưng, Hà Nội",0987667665                              
67,Công Ty Cổ Phần Thương Mại ánh Dương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hải Dương,"Số 11 Trần ích Phát, P. Hải Tân, TP Hải Dương, Hải Dương","(0220) 3843557, Hotline : 0963.255.233         "
68,Công Ty Cổ Phần TECHNOKOM,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hưng Yên,"Đường E3, Khu E , KCN Phố Nối A, H. Văn Lâm, Hưng Yên",(0221) 3791750                                 
69,Công Ty TNHH Công Nghiệp Dezen,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Vĩnh Phúc,"Lô 5, CN 17, KCN Khai Quang, TP. Vĩnh Yên, Vĩnh Phúc",(0211) 3844222                                 
70,Công Ty TNHH Toyota Hải Dương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hải Dương,"Số 1 Ngô Quyền, P. Cẩm Thượng, TP. Hải Dương, Hải Dương",0909983555                              
71,Công Ty TNHH Thắng Long,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Tháp,"Số 234, Đường ĐT 852, Khóm Tân Hòa, P. An Hòa, TP. Sa Đéc, Đồng Tháp",(0277) 3762890                                 
72,Công Ty TNHH Kỹ Thương Hà Thành,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 23, Ngõ 62, Trần Bình, Q. Nam Từ Liêm, Hà Nội",(024) 39133888                                
73,Công Ty CP Đầu Tư Và TM Tây Ô Tô - Chi Nhánh Western Ford An Giang,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",An Giang,"Số 26/2A Trần Hưng Đạo, P. Mỹ Thới, TP. Long Xuyên, An Giang","(0396) 3933121, 0939085008                     "
74,Phụ Tùng Xe SAV - Công Ty TNHH Đầu Tư Liên Hiệp SAV,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 18, Ngách 445/50A Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội","(024) 22828080, 0904481072, 0903898380        "
75,Công Ty TNHH ZF Automative Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hải Phòng,"Nhà xưởng Supplier Park thuộc Tổ hợp sản xuất ô tô Vinfast, khu kinh tế Đình Vũ - Cát Hải, đảo Cái Hải, Thị Trấn Cát Hải, Huyện Cát Hải, Tp. Hải Phòng",(0225) 7300011                                 
76,Công Ty TNHH Du Lịch Và Thương Mại Đặng Gia,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Km 8+900, Đường Gom Đại Lộ Thăng Long, H. Thạch Thất, Hà Nội",0919958888                              
77,Công Ty TNHH Thương Mại Dịch Vụ Ô Tô Tây Sài Gòn,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"63 Võ Văn Kiệt, P. 10, Q. 5, Tp. Hồ Chí Minh (TPHCM)",0901030030                              
78,Công Ty TNHH Toyota Thanh Xuân,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 315 Trường Chinh, P. Khương Mai, Q. Thanh Xuân, Hà Nội",0936088246                              
79,Công Ty TNHH Jaan-E (Thuộc tập đoàn Elig),"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"KCN Hố Nai 3, Trảng Bom, Đồng Nai",(0251) 6278569                                 
80,Phụ Tùng Ô Tô EUCARTECH - Công Ty EUCARTECH,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 82 Kiên Thành, Xã Trâu Quỳ, Huyện Gia Lâm, Hà Nội","0848076888, 0868713877                  "
81,Máy Lạnh Ô Tô Toàn Phát - Công Ty TNHH Đầu Tư Và Phát Triển Thương Mại Dịch Vụ Toàn Phát,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 27/785 Trương Định, P. Thịnh Liệt, Q. Hoàng Mai, Hà Nội",(024) 38215773                                
82,Phụ Tùng Ô Tô Auto Đức Phát - Auto Đức Phát,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Bình Dương,"29/3 KP. 2, P. An Phú, TP. Thuận An, Bình Dương",0967 660 139                            
83,Phụ Tùng Ô Tô Gia Khoa - Công Ty TNHH Gia Khoa,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 2A/436 Đường Bạch Đằng, P. Chương Dương, Q. Hoàn Kiếm, Hà Nội",Hotline: 0983 380 969                   
84,Cửa Hàng Long Phát,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"16 Cống Quỳnh, P. Nguyễn Cư Trinh, Q. 1, Tp. Hồ Chí Minh (TPHCM)",(028) 38375216                                
85,Công Ty cổ phần HC-HITECK,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"số 46, ngách 3 ngõ 121 Thái Hà, Trung Liệt , Đống &#272a Hà Nội",(024) 37920574                                
86,Công Ty Cổ Phần Thương Mại Dịch Vụ Ngọc An,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"327 Quốc Lộ 13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)",(028) 37262639                                
87,Công Ty Cổ Phần Kent Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 779, Tầng 2, Tòa CT3, KĐT Mỹ Đình, Hà Nội",0902162698                              
88,Công Ty TNHH Toyota An Thành Fukushima,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"C4/4B, KP. 3, Đường Bùi Thanh Khiết, TT. Tân Túc, Q. Bình Chánh, Tp. Hồ Chí Minh (TPHCM)",(028) 36364040                                
89,Phụ Tùng Alpha - Công Ty TNHH Công Nghiệp Nặng Alpha,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 6A, Ngõ 105/46, Doãn Kế Thiện, P. Mai Dịch, Q. Cầu Giấy, Hà Nội",0913322917                              
90,Công Ty TNHH Công Nghiệp Kao Minh,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Đồng Nai,"Đường Số 2, KCN Hố Nai 3, H. Trảng Bom, Đồng Nai",(0251) 6278666                                 
91,Kia Giải Phóng - Công Ty Cổ Phần Xây Dựng Và Vật Tư Thiết Bị,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Km 10 Đường Giải Phóng, X. Tứ Hiệp, H.Thanh Trì, Hà Nội",(024) 0915557229                              
92,Công Ty Cổ Phần Thiết Bị Phụ Tùng & Vận Tải Việt Phong,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hải Phòng,"762 Đường Trần Hưng Đạo, P. Đông Hải 1, Q. Hải An, Tp. Hải Phòng",(0225) 3262599                                 
93,Công Ty TNHH Xuất Nhập Khẩu Thiết Bị Và Phụ Tùng DC Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 2, TDP Nhang, P. Xuân Đỉnh, Q. Bắc Từ Liêm, Hà Nội",(024) 37502743                                
94,Công ty TNHH Sản xuất Phần cứng Cangzhou Xinlida,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tỉnh Hà Bắc,"Khu phát triển công nghiệp, Huyện Nanpi, Tỉnh Hà Bắc",(+86) 3178566585                              
95,Ô Tô Việt - Công Ty Cổ Phần Ô Tô Việt,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"336 Lê Trọng Tấn, P. Tây Thạnh, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM)",(028) 38127979                                
96,Công ty TNHH Thương Mại Xe Tải Hạng Nặng Jinan Huawo,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",,"Số 10, Khu Vực 1, Khu Công Nghiệp Tianqiao, Tế Nam ",+86 15264102339                         
