,Name,Nganh,Dia Chi,Phone,Province
15,Công Ty TNHH MTV Vận Tải Và Du Lịch Nguyễn Anh Huy,Cho Thuê Xe Du Lịch ,"  Số 76, Tổ 4, Khu 14, Long Đức, Long Thành, Đồng Nai, Việt Nam",0932 600 060 -  0914 846 932,Đồng Nai
16,Công Ty TNHH Việt Nam Đông Dương,Cho Thuê Xe Du Lịch ,"  TT3.9 Building Số 1, Đường Cổ Linh, Q. Long Biên, Hà Nội, Việt Nam",(024) 36 365 365 -  0866 090 007,Hà Nội
17,Công Ty TNHH Dịch Vụ P&T Vina,Cho Thuê Xe Du Lịch ,"  9/17B Ấp 6, Xã Đông Thạnh, Huyện Hóc Môn, Tp. Hồ Chí Minh, Việt Nam",Hotline: 0902 525 175 -  0902 025 175,Hồ Chí Minh
18,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Du Lịch Hoàn Hảo,Cho Thuê Xe Du Lịch ,"  Số 42 Đường Phạm Hùng, P. Thanh Bình, Hải Dương, Việt Nam",0967 687 708 / 0934 692 885,Hải Dương
19,Công Ty TNHH Thương Mại Và Du Lịch Nam Việt Cường,Cho Thuê Xe Du Lịch ,"  182 Bà Triệu, P. Thanh Bình, Tp. Hải Dương, Tỉnh Hải Dương, Việt Nam",0989 242 805 -  0913 374 303,Hải Dương
20,Công Ty TNHH Thương Mại Và Du Lịch Nụ Cười Huế,Cho Thuê Xe Du Lịch ,"  1/6 Trần Quang Khải, Phường Phú Hội, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",(0234) 3883 659 -  0935 484 415,Thừa Thiên Huế
21,Công Ty TNHH Ngọc Dung,Cho Thuê Xe Du Lịch ,"  99D/1 Nguyễn Trãi, P. Tân An, Q. Ninh Kiều, Tp. Cần Thơ, Việt Nam",Hotline: 0903 349 407,Cần Thơ
22,Công Ty TNHH Vũ Ngọc,Cho Thuê Xe Du Lịch ,"  1091 Ngô Quyền, Q. Sơn Trà, Tp. Đà Nẵng, Việt Nam",(0236) 3831225,Đà Nẵng
23,Công Ty TNHH Dịch Vụ Du Lịch Hoàng Hà D.L,Cho Thuê Xe Du Lịch ,"  Số 8D, Đường Nguyễn Ái Quốc, Khu Phố 3, P. Quang Vinh, Biên Hòa, Đồng Nai, Việt Nam",(0251) 2221778 -  0988 193 959 -  0911 466 334,Đồng Nai
24,Nhà Xe Anh Phát,Cho Thuê Xe Du Lịch ,"  92 Trần Hưng Đạo, P. Dương Đông, TP. Phú Quốc, Kiên Giang, Việt Nam",Hotline: 0974 900 999 -  0985 465 555,Kiên Giang
25,Công Ty TNHH MTV Thương Mại Dịch Vụ Tú Toàn Tiến,Cho Thuê Xe Du Lịch ,"  142 Đặng Văn Mây, P. Tân Đông Hiệp, TP. Dĩ An, Bình Dương, Việt Nam",0908756737,Bình Dương
26,Công Ty TNHH MTV TM DV Vận Tải Lâm Phát,Cho Thuê Xe Du Lịch ,"  264/35/21A Nguyễn Thị Minh Khai, P. Phú Hòa, TP. Thủ Dầu Một, Bình Dương, Việt Nam",0918307488 -  0961623338,Bình Dương
27,Công Ty TNHH Đầu Tư Thương Mại Và Du Lịch Hoa Mai,Cho Thuê Xe Du Lịch," Số 9, Ngõ 92, Nguyễn Khánh Toàn, Q. Cầu Giấy, Hà Nội, Việt Nam",(024) 37567345,Hà Nội
28,Công Ty TNHH Hùng Kin,Cho Thuê Xe Du Lịch," 38 Ngọc Hồi, P. Hòa Minh, Q. Liên Chiểu, Tp. Đà Nẵng, Việt Nam",0914222029 -   0914177125 -  0914222019,Đà Nẵng
29,Công Ty TNHH MTV Dịch Vụ Vận Tải Lam Đạt,Cho Thuê Xe Du Lịch," 42/13C Tân Thới Nhất 5, KP. 7, P. Tân Thới Nhất, Q. 12, Tp. Hồ Chí Minh, Việt Nam",0977676366,Hồ Chí Minh
30,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải và Du Lịch Gió Mới,Cho Thuê Xe Du Lịch," 453KA/19B Lê Văn Sỹ, Phường 12, Quận 3, Tp. Hồ Chí Minh, Việt Nam",(028) 35261085 -  0913 300 976,Hồ Chí Minh
31,Công Ty TNHH Như ý,Cho Thuê Xe Du Lịch," 11/34 Trần Quý Cáp, P. Thuận Lộc, Thừa Thiên Huế, Việt Nam",0913923252 -  0932513252,Thừa Thiên Huế
32,Vietnam Private Car,Cho Thuê Xe Du Lịch," 16/65 Hoàng Quốc Việt, TP Huế, Thừa Thiên Huế, Việt Nam",Hotline : 0988.857.128,Thừa Thiên Huế
33,Công Ty TNHH Du Lịch Thương Mại Đất Việt,Cho Thuê Xe Du Lịch," 75 Trần Quang Khải, P. Hà Huy Tập, Tp. Vinh, Nghệ An, Việt Nam",(0238) 3845737,Nghệ An
34,Công Ty TNHH Dịch Vụ Phương Nghi,Cho Thuê Xe Du Lịch," 115/117/119 Tây Sơn, Tp.Quy Nhơn, Bình Định, Việt Nam",(0256) 3547888,Bình Định
35,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Liên Trang,Cho Thuê Xe Du Lịch," 50 Nguyễn Chánh, Phường Phước Nguyên, TP. Bà Rịa, Bà Rịa-Vũng Tàu, Việt Nam",07 0481 0481 -  0931 011 011,Bà Rịa-Vũng Tàu
36,Công Ty TNHH MTV Dịch Vụ Vận Tải Quốc Tế Hoàng Nguyễn,Cho Thuê Xe Du Lịch," 140 Đường DC11, P. Sơn Kỳ, Q. Tân Phú, Tp. Hồ Chí Minh, Việt Nam",0916303082,Hồ Chí Minh
37,Công Ty TNHH MTV Hoài Travel,Cho Thuê Xe Du Lịch," 72 Trần Nhân Tông, Tp. Hội An, Quảng Nam, Việt Nam",0905659292,Quảng Nam
38,Công Ty TNHH Du Lịch Sao Phương Bắc,Cho Thuê Xe Du Lịch,"  67/13 Hùng Vương, P. Thới Bình, Q. Ninh Kiều, TP. Cần Thơ, Việt Nam",0947 495 057,Cần Thơ
39,Công Ty TNHH Thương Mại & Du Lịch á Châu Nha Trang,Cho Thuê Xe Du Lịch," Số 1, Tổ 10 Phúc Lợi, Đường Vũ Xuân Thiều, P. Phúc Lợi, Q. Long Biên, Hà Nội, Việt Nam",(0243) 9955989,Hà Nội
40,Dịch Vụ Du Lịch Ngọc Quý,Cho Thuê Xe Du Lịch," NV 10 Số 16 KĐT Phước Long, TP. Nha Trang, Khánh Hòa Khánh Hòa, Việt Nam",0905454899,Khánh Hòa
41,Công Ty TNHH Dịch Vụ Du Lịch Hoàng Dung,Cho Thuê Xe Du Lịch," 280 An Dương Vương, P. 3, Q. 5, Tp. Hồ Chí Minh, Việt Nam",0917853438,Hồ Chí Minh
42,Công Ty TNHH TM Và Du Lịch Linh An,Cho Thuê Xe Du Lịch," 281 Nguyễn Thông, P. 3, TP. Tân An, Long An, Việt Nam",0982099329,Long An
43,Công Ty TNHH Du Lịch Vận Tải Ngọc Minh,Cho Thuê Xe Du Lịch," Phòng 810, CT2A, KĐT Mỹ Đình 2, Đường Lê Đức Thọ, P. Mỹ Đình, Q. Nam Từ Liêm, Hà Nội, Việt Nam",(024) 37872133,Hà Nội
44,Công Ty TNHH Du Lịch Tuấn Linh,Cho Thuê Xe Du Lịch," Số 25, Ngõ 31 Doãn Kế Thiện, Mai Dịch, Cầu Giấy, Hà Nội, Việt Nam",0967 279 998,Hà Nội
45,Công Ty TNHH TMDV Vận Tải Và Du Lịch ánh Bình Minh,Cho Thuê Xe Du Lịch," Phòng 509, Tòa Nhà 15T2, 18 Tam Trinh, Q. Hai Bà Trưng, Hà Nội, Việt Nam",(024) 62768855 - (024)  62768866,Hà Nội
46,Công Ty TNHH Dịch Vụ Du Lịch Vận Tải Xe Miền Nam,Cho Thuê Xe Du Lịch," Số 223/2 KP. 1B, P. An Phú, TP. Thuận An, Bình Dương, Việt Nam",0967151689,Bình Dương
47,Công Ty TNHH Thiên Hà Hà Nội,Cho Thuê Xe Du Lịch," 2/21 Bạch Đằng, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",0987019123,Hồ Chí Minh
48,Công Ty TNHH Dịch Vụ Và Vận Tải Tuấn Phương,Cho Thuê Xe Du Lịch," Thôn Đại Độ, Xã Võng La, Huyện Đông Anh, Hà Nội, Việt Nam",0964 737 283,Hà Nội
49,Công Ty TNHH NPT VINA,Cho Thuê Xe Du Lịch," Số 39, Ngách 66 Ngõ Hòa Bình 7, Minh Khai, Q. Hai Bà Trưng, Hà Nội, Việt Nam",0988143983,Hòa Bình
50,Công Ty Cổ Phần Du Lịch Và Thương Mại Mặt Trời Việt,Cho Thuê Xe Du Lịch," 67/8, Đờng Lê Thị Hoa, KP. 3, P. Bình Chiểu, TP. Thủ Đức, Tp. Hồ Chí Minh, Việt Nam",0988763367,Hồ Chí Minh
51,Công Ty TNHH StartJobs,Cho Thuê Xe Du Lịch," 211/13 Nguyễn Văn Linh. P Hưng Lợi. Q Ninh Kiều, TP. Cần Thơ, Việt Nam",(0292) 3783022 -  0939844234,Cần Thơ
52,Công Ty TNHH TM DV Phú Bình Dương,Cho Thuê Xe Du Lịch," 176 Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",0938 582 789,Hồ Chí Minh
53,Doanh Nghiệp Tư Nhân Nguyên Thành Đạt,Cho Thuê Xe Du Lịch," 323/E, Tổ 6, KP. 5, P. Uyên Hưng, TX. Tân Uyên, Bình Dương, Việt Nam",0941500500,Bình Dương
54,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Hoa Oải Hương,Cho Thuê Xe Du Lịch," Số 47, Tôn Đức Thắng, An Đồng, An Dương, Tp. Hải Phòng, Việt Nam",(0225) 3835587,Hải Phòng
55,Công Ty TNHH DV Tổng Hợp Hoàng Gia Thịnh,Cho Thuê Xe Du Lịch," 54/5 Đường Hùng Vương Phường 9 TP. Đà Lạt Lâm Đồng, Việt Nam",(0263) 3915799 -  Hotline: 0933.335.048,Lâm Đồng
56,Doanh Nghiệp Tư Nhân Cho Thuê Xe Du Lịch Dũng Tâm,Cho Thuê Xe Du Lịch," 778 Quốc Lộ 1A, KP 4, P. An Phú Đông, Q. 12 - 151/3A Đường Tam Châu Phường Tam Bình TP. Thủ Đức Tp. Hồ Chí Minh, Việt Nam",Hotline: 0938.358.309 -  0938.100.229,Hồ Chí Minh
57,Công Ty TNHH Du Lịch Và Thương Mại Tổng Hợp QTC,Cho Thuê Xe Du Lịch," Số 29 Lê Thành Phương, P. 2, Tp.Tuy Hòa, Phú Yên, Việt Nam",0979042708,Phú Yên
58,Công Ty TNHH MTV Du Lịch Bảo Long An,Cho Thuê Xe Du Lịch," 29 Ngõ 65, Phố Vân Hồ 3, P. Lê Đại Hành, Q. Hai Bà Trưng, Hà Nội, Việt Nam",(024) 39760934,Hà Nội
59,Doanh Nghiệp Tư Nhân Vy Vy,Cho Thuê Xe Du Lịch," 14 Nguyễn Thiện Kế, Phước Mỹ, Sơn Trà, Tp. Đà Nẵng, Việt Nam",(0236) 6512999,Đà Nẵng
60,Công Ty TNHH Thuê Xe Sài Gòn,Cho Thuê Xe Du Lịch," 740/23 bis QL 13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh, Việt Nam",0911391839,Bình Phước
61,Công Ty TNHH Dịch Vụ Vận Tải LV,Cho Thuê Xe Du Lịch," 238/12B Liên Tỉnh 5, P. 6, Q. 8, Tp. Hồ Chí Minh, Việt Nam",091 778 2929 -  081 955 3355,Hồ Chí Minh
62,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Đại Nghĩa,Cho Thuê Xe Du Lịch," H92, Đường 55, Khu Dân Cư 586, P. Phú Thứ, Q. Cái Răng, TP. Cần Thơ, Việt Nam",0913636777,Cần Thơ
63,Công Ty TNHH TM DV Du Lịch Nguyễn Duy Travel,Cho Thuê Xe Du Lịch ," Số 181/21 Nghĩa Phát, P. 6, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 39716050 -  Hotline: 0908 847 405,Hồ Chí Minh
64,Công Ty Tour Du Lịch 24H,Cho Thuê Xe Du Lịch," 29-31 Trần Tế Xương, Quận Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",0913205677,Hồ Chí Minh
65,Công Ty Cổ Phần Du Lịch Và TM Quốc Tế á Âu,Cho Thuê Xe Du Lịch," P. 1705, Tầng 17, Tòa Nhà 129, Ban Cơ Yếu Chính Phủ, P. Nhân Chính, Q. Thanh Xuân, Hà Nội, Việt Nam",(024) 3566 8268,Hà Nội
66,Công Ty TNHH Du Lịch Hoàng Khởi,Cho Thuê Xe Du Lịch," 184 Cộng Hòa, P. 12, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 62680815,Hồ Chí Minh
67,Công Ty TNHH Thương Mại Và Du Lịch Việt Star,Cho Thuê Xe Du Lịch," Số 102, Đường D3, P. 25, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 66808830,Hồ Chí Minh
68,Công Ty TNHH Thương Mại Và Dịch Vụ Đại Đồng Đen,Cho Thuê Xe Du Lịch," Số 14, Lô 1, KP 1A, P. An Phú, TP. Thuận An, Bình Dương, Việt Nam",0393815704 -  0937294131,Bình Dương
69,Công Ty TNHH Dịch Vụ Big Travel,Cho Thuê Xe Du Lịch," 02 Trịnh Công Sơn, TT.Bình Định, TP. Bình Định Bình Định, Việt Nam",0971953195,Bình Định
70,Công Ty TNHH Thương Mại Dịch Vụ Ô Tô Vạn An,Cho Thuê Xe Du Lịch," P507 - E5 Thành Công, Ba Đình, Hà Nội, Việt Nam",0989 403 456,Hà Nội
71,Công Ty Cổ Phần Châu úc,Cho Thuê Xe Du Lịch," 103/13 Tân Hóa, P. 14, Q. 6, Tp. Hồ Chí Minh, Việt Nam",(028) 38589437,Hồ Chí Minh
72,Công Ty Cổ Phần Long Thành,Cho Thuê Xe Du Lịch," Lầu 12, Khu B, IndoChina Park Tower, 04 Nguyễn Đình Chiểu, P. Đa Kao, Q. 1, Tp. Hồ Chí Minh, Việt Nam",0918183353,Hồ Chí Minh
73,Công Ty TNHH Xây Dựng Thương Mại Á Châu,Cho Thuê Xe Du Lịch," 791 Tạ Quang Bửu, P. 5, Q. 8, Tp. Hồ Chí Minh, Việt Nam",094 668 8838,Hồ Chí Minh
74,Du lịch á Châu,Cho Thuê Xe Du Lịch," 158 Lê Trọng Tấn, Thanh Xuân, Hà Nội, Việt Nam",(024) 35736748,Hà Nội
75,Công Ty TNHH Du Lịch Vận Chuyển Hành Trình Việt,Cho Thuê Xe Du Lịch," Phòng LE0440, Lô E, Tầng 4, Toà Nhà Lexington, P. An Phú, Quận 2, Tp. Hồ Chí Minh, Việt Nam",Hotline: 0908 618 571,Hồ Chí Minh
76,Công Ty TNHH MTV Vận Tải Hải Trung Kim,Cho Thuê Xe Du Lịch," Phòng 706, Lầu 7, 79 Trương Định, P. Bến Thành, Q. 1, Tp. Hồ Chí Minh, Việt Nam",(028) 62774781,Hồ Chí Minh
77,Công Ty Du Lịch Việt Sun,Cho Thuê Xe Du Lịch," 211/13 Nguyễn Văn Linh, P. Hưng lợi, Q. Ninh Kiều, TP. Cần Thơ, Việt Nam",090 444 2425,Cần Thơ
78,Công Ty CP Du Lịch Hòa Bình Việt Nam,Cho Thuê Xe Du Lịch," 60 Võ Văn Tần, P. 6, Q. 3, Tp. Hồ Chí Minh, Việt Nam",(028) 39303909,Hồ Chí Minh
79,Công ty TNHH TM&DV Kha Trần,Cho Thuê Xe Du Lịch," 38 Võ Thị Sáu, Thừa Thiên Huế, Việt Nam",(0234) 3936769,Thừa Thiên Huế
80,Công Ty Cổ Phần Vận Tải Hàng Không Miền Nam,Cho Thuê Xe Du Lịch," 1A Hồng Hà, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 66515956,Hồ Chí Minh
81,Công Ty TNHH Du lich & Dịch Vụ Phùng Huế,Cho Thuê Xe Du Lịch," 11 Hải Hồ, P.Thanh Bình, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",(0236) 3532658,Đà Nẵng
82,Công Ty Cổ Phần Du Lịch Quốc Tế Hòa Bình,Cho Thuê Xe Du Lịch," 60 Võ Văn Tần, P. 6, Q. 3, Tp. Hồ Chí Minh, Việt Nam",(028) 39309668,Hồ Chí Minh
83,Công Ty Cổ Phần Du Lịch & Thương Mại Bắc Thăng Long,Cho Thuê Xe Du Lịch," Trụ sở: 25 Hồ Đắc Di, P. Nam Đồng, Q. Đống Đa, Hà Nội  VPGD: Số 9, 211/1 Khương Trung, Q. Thanh Xuân, Hà Nội, Việt Nam",(024) 35332077,Hà Nội
84,Trường Sơn Xe Du Lịch,Cho Thuê Xe Du Lịch," Phường Hồng Hà, TP Yên Bái, Yên Bái, Việt Nam",0975.903.888 -  0855.016.689,Yên Bái
85,Công Ty TNHH Dịch Vụ Du Lịch Tài Phát,Cho Thuê Xe Du Lịch," 187/7 Điện Biên Phủ, P. Đa Kao, Quận 1, Tp. Hồ Chí Minh, Việt Nam",0914 09 08 01 -  0974 57 58 01,Điện Biên
86,Công Ty Du Lịch Sadaco,Cho Thuê Xe Du Lịch," 200 Bis Lý Chính Thắng, Phường 9, Quận 3, Tp. Hồ Chí Minh, Việt Nam",(028) 39318189,Hồ Chí Minh
87,Công Ty TNHH Dịch Vụ Vận Tải Sơn Tùng,Cho Thuê Xe Du Lịch," D13 Ông ích Khiêm, Phường 9,Thành Phố Vũng Tàu, Bà Rịa-Vũng Tàu, Việt Nam",0913948048,Bà Rịa-Vũng Tàu
88,Công Ty TNHH MTV HPT Car Family,Cho Thuê Xe Du Lịch," 467 Xa Lộ Hà Nội, P. An Phú, Q. 2, Tp. Hồ Chí Minh, Việt Nam",(028) 62744777,Hồ Chí Minh
89,Công Ty TNHH Du Lịch Và Dịch Vụ Trái Tim Việt,Cho Thuê Xe Du Lịch," Số 22 Nhân Hòa, Nhân Chính, Q. Thanh Xuân, Hà Nội, Việt Nam",(024) 35579848,Hà Nội
90,Công Ty Cổ Phần Kỹ Thuật ứng Dụng Quốc Tế,Cho Thuê Xe Du Lịch," Phòng D3, Tầng 3, 96 Định Công, P. Phương Liệt, Q. Thanh Xuân, Hà Nội, Việt Nam",(024) 37733831,Hà Nội
91,Thuê Xe Bảo Minh,Cho Thuê Xe Du Lịch," Số 55, Ngách 123/31 Đường Thuỵ Phương, Q. Bắc Từ Liêm, Hà Nội, Việt Nam",0978143934,Hà Nội
92,Công Ty TNHH Thương Mại Và Dịch Vụ Du Lịch 24H,Cho Thuê Xe Du Lịch," 49/12 Ông ích Khiêm, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",(0236) 3646252,Đà Nẵng
93,Công Ty Cổ Phần Đầu Tư Thương Mại Du Lịch Vận Tải Và Tài Chính Châu á,Cho Thuê Xe Du Lịch," Phòng 602, Tòa Nhà A14B2, Nguyễn Chánh, Q. Cầu Giấy, Hà Nội, Việt Nam",(024) 66836607,Hà Nội
94,Công Ty Cổ Phần Truyền Thông Quảng Cáo Sông Lam TOURIST,Cho Thuê Xe Du Lịch," 216 Nguyễn Hồng Đào, P14,  Quận Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 66820599,Hồ Chí Minh
95,Công Ty TNHH Quảng Cáo Thương Mại Và Lữ Hành Quốc Tế Mặt Trời Việt,Cho Thuê Xe Du Lịch," Số 30, Ngách 221, Ngõ Thịnh Quang, Phố Vĩnh Hồ, P. Thịnh Quang, Q. Đống Đa, Hà Nội, Việt Nam",(024) 35558088,Hà Nội
96,Công Ty TNHH Thương Mại và Du Lịch Hoàng Nhựt,Cho Thuê Xe Du Lịch," 317 Phan Đình Phùng, P. 15, Q. Phú Nhận, Tp. Hồ Chí Minh, Việt Nam",0908286464,Hồ Chí Minh
97,Công Ty Cổ Phần Thương Mại Du Lịch Việt á,Cho Thuê Xe Du Lịch," 89 Mã Mây, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 39260739,Hà Nội
98,Công Ty TNHH Du Lịch Quốc Tế Tràng An,Cho Thuê Xe Du Lịch," Tầng 3, Tòa Nhà Hoàng Sâm, 260-262 Bà Triệu, P. Lê Đại Hành, Hà Nội, Việt Nam",(024) 71 087 087,Hà Nội
99,Công Ty Cổ Phần Thương Mại Dịch Vụ Du Lịch Hiền Thảo,Cho Thuê Xe Du Lịch," 511 Nguyễn Trãi, P. 7, Q. 5, Tp. Hồ Chí Minh, Việt Nam",(028) 39520379,Hồ Chí Minh
100,Hợp Tác Xã Vận Tải & Du Lịch Q.10,Cho Thuê Xe Du Lịch," 35 Trần Minh Quyền, P. 10, Q. 10, Tp. Hồ Chí Minh, Việt Nam",(028) 38557483,Hồ Chí Minh
101,Công Ty Cổ Phần Lữ Hành Thăng Long,Cho Thuê Xe Du Lịch," Tổ 1, Do Lộ, P. Yên Nghĩa, Q. Hà Đông, Hà Nội, Việt Nam",0987357757,Hà Nội
102,Công Ty TNHH MTV Du Lịch Thanh Niên Việt,Cho Thuê Xe Du Lịch," 54 Nguyễn Thành Phương, Khu Phố 6, P. Thống Nhất, Tp. Biên Hòa, Đồng Nai, Việt Nam",(0251) 3840682,Đồng Nai
103,Công Ty Cổ Phần Du Lịch Thanh Niên Xung Phong (V.Y.C),Cho Thuê Xe Du Lịch," 178 - 180 Nguyễn Cư Trinh, Q. 1, Tp. Hồ Chí Minh, Việt Nam",(028) 38368899,Hồ Chí Minh
104,Công Ty TNHH Thương Mại Dịch Vụ Giao Thông Phước Hoàng Anh,Cho Thuê Xe Du Lịch," Tòa Nhà Hành Chính Tầng 46 Bitexco, P. Bến Nghé , Q. 1, Tp. Hồ Chí Minh, Việt Nam",0932109595,Hồ Chí Minh
105,Công Ty TNHH MTV Thương Mại Vận Tải Và Du Lịch Đức Phú,Cho Thuê Xe Du Lịch," Số 8A Tổ 28, Nguyễn Thị Định, P. Trung Hòa, Q. Cầu Giấy, Hà Nội, Việt Nam",(024) 35558297,Hà Nội
106,Công Ty TNHH MTV Du Lịch Hội An Phố,Cho Thuê Xe Du Lịch," 45 Thái Phiên, Hội An Quảng Nam, Việt Nam",(0235) 3928700,Quảng Nam
107,Công Ty TNHH Thịnh Hưng,Cho Thuê Xe Du Lịch," Quất Lưu, Bình Xuyên, Vĩnh Phúc, Việt Nam",(0211) 3595959,Vĩnh Phúc
108,Công Ty TNHH Dịch Vụ Du Lịch Trà My,Cho Thuê Xe Du Lịch," Số Nhà 149, Đường Rạp Hát, P.Vệ An, TP.Bắc Ninh Bắc Ninh, Việt Nam",(0222) 3816818,Bắc Ninh
109,Công Ty TNHH Du Lịch & Thương Mại Phú Bảo Khang,Cho Thuê Xe Du Lịch," 39 Nguyễn Thượng Hiền, P. 5, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 35150208,Hồ Chí Minh
110,Công Ty TNHH MTV Du Lịch Sinh Thái Bảo Duyên,Cho Thuê Xe Du Lịch," 28D, An Thuận A, P. Mỹ Thạnh An, TP. Bến Tre, Bến Tre, Việt Nam",0948639683,Bến Tre
111,Công Ty TNHH Thương Mại Và Dịch Vụ Nghệ An,Cho Thuê Xe Du Lịch," Số 128 Hải Thượng Lãn Ông, P. Hà Huy Tập, Tp. Vinh, Nghệ An, Việt Nam",(0238) 8500949,Nghệ An
112,Công Ty TNHH MTV Du Lịch Mỹ Anh Hội An,Cho Thuê Xe Du Lịch," 333 Cửa Đại, Tp. Hội An, Quảng Nam, Việt Nam",(0235) 3914655,Quảng Nam
