Name,Address,Phone,Province,Brand,Quantity
Toyota Nha Trang,"Km5 đường 23/10, Vĩnh Hiệp, TP. Nha Trang, Tỉnh Khánh Hòa",0933.807.222,Khánh Hòa,Toyota,35
Ford Miền Nam,Thành Phố Hồ Chí Minh,0903.196.169,TP.HCM,Ford,15
Trần Hưng Đạo Ford - Chi Nhánh Sài Gòn Ford,"Số 6 Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",0764.715.317,TP.HCM,Ford,15
Gia Định Ford,"900 Quốc Lộ 1A, Phường Thạnh Xuân, Quận 12, TP.HCM",0979.934.915,TP.HCM,Ford,15
City Ford,"218 Quốc Lộ 13, Phường Hiệp Bình Chánh, TP. Thủ Đức, TP.HCM",0938.747.636,TP.HCM,Ford,15
Phú Mỹ Ford,"507C Xa Lộ Hà Nội, Phường An Phú, Quận 2, TP. Thủ Đức, TP.HCM",0365.273.812,TP.HCM,Ford,15
Long Khánh Ford,"Đường 21/4, tổ 1, Khu Phố Cẩm Tân, Phường Xuân Tân, TP. Long Khánh, Tỉnh Đồng Nai",0398 288 795,Đồng Nai,Ford,16
Vinh Ford,"Km 200 Đại lộ Lê Nin, Thành Phố Vinh, Tỉnh Nghệ An",0915.434.226,Nghệ An,Ford,15
Hyundai Trường Chinh,"Số 682A Trường chinh, Phường 15, Quận Tân Bình, TP.HCM",0969.369.710,TP.HCM,,26
Hyundai Đắk Lắk,"15A Nguyễn Chí Thanh, Phường Tân An, TP. Buôn Ma Thuột, ĐắkLắk",0945.983.377,Đắk Lắk,,26
Honda Ôtô Hải Phòng,"Thửa 3+4, Lô 26 Lê Hồng Phong, Quận Ngô Quyền, TP. Hải Phòng",0934.211.811,Hải Phòng,Honda,12
Mitsubishi Trường Chinh,"831 Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",0355 464 870,TP.HCM,Mitsubishi,14
Mitsubishi Quận 9,TP. HCM,0903.191.378,TP.HCM,Mitsubishi,13
Mitsubishi ISAMCO Bình Triệu,"79-81 Quốc Lộ 13, Phường Hiệp Bình Chánh, TP. Thủ Đức, TP. HCM",0903.191.378,TP.HCM,Mitsubishi,13
Mitsubishi ISAMCO Cô Giang,"139 Cô Giang, Phường Cô Giang, Quận 1, TP. HCM",0903.191.378,TP.HCM,Mitsubishi,13
Mitsubishi ISAMCO Võ Văn Kiệt,"664 Võ Văn Kiệt, Phường 1, Quận 5, TP.HCM",0903.191.378,TP.HCM,Mitsubishi,13
Mitsubishi Phương Nguyên,"63A Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP.HCM",0903.191.378,TP.HCM,Mitsubishi,13
Mitsubishi Đắk Lắk,"144 Nguyễn Chí Thanh, Phường Tân An, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",0984.222.556,Đắk Lắk,Mitsubishi,13
Mitsubishi Đắk Nông,"799 Nguyễn Tất Thành, Phường Nghĩa Phú, TP. Gia Nghĩa, Tỉnh Đắk Nông",0984.222.556,Đắk Nông,Mitsubishi,14
Mitsubishi Vũng Tàu,"Thành phố Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu",0903.191.378,Bà Rịa - Vũng Tàu,Mitsubishi,13
Mitsubishi Nha Trang,"17 Đường Phong Châu, Phước Hải, TP. Nha Trang, Tỉnh Khánh Hoà",0914.14.93.14,Khánh Hòa,Mitsubishi,13
Mitsubishi Tiền Giang,"Ấp 4, Xã Trung An, Thành phố Mỹ Tho, Tỉnh Tiền Giang",0888.802.949,Tiền Giang,Mitsubishi,13
Mercedes-Benz VietNam Star Phú Mỹ Hưng,"811 - 813 Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TP.HCM",0903.288.666,TP.HCM,Mercedes-Benz,21
Mercedes-Benz Haxaco Điện Biên Phủ,"333 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TP.HCM",0974.10.10.58,TP.HCM,Mercedes-Benz,22
Mercedes-Benz VietNam Star Long Biên,"386 Nguyễn Văn Linh, Quận Long Biên, Hà Nội",0969.993.869,Hà Nội,Mercedes-Benz,22
Mercedes-Benz VietNam Star Hoàn Kiếm - Hà Nội,"7 Đặng Thái Thân, Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",0969.993.869,Hà Nội,Mercedes-Benz,21
Mercedes-Benz Haxaco Láng Hạ,"46 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",0969.993.869,Hà Nội,Mercedes-Benz,22
Mercedes-Benz Haxaco Kim Giang,"256 Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",0969.993.869,Hà Nội,Mercedes-Benz,22
Mercedes-Benz VietNam Star Ngô Quyền,"Số 2 Ngô Quyền, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội",0969.993.869,Hà Nội,Mercedes-Benz,22
Mercedes-Benz An Du Phạm Hùng,"11 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",0969.993.869,Hà Nội,Mercedes-Benz,22
Mercedes-Benz Đồng Nai,"Thành Phố Biên Hòa, Tỉnh Đồng Nai",0974.10.10.58,Đồng Nai,Mercedes-Benz,22
Mercedes-Benz Vũng Tàu,"30 Tháng 4, Phường Thống Nhất, TP. Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu",0974.10.10.58,Bà Rịa - Vũng Tàu,Mercedes-Benz,22
Mercedes-Benz Đà Lạt,"Thành Phố Đà Lạt, Tỉnh Lâm Đồng",0974.10.10.58,Lâm Đồng,Mercedes-Benz,22
BMW Hồ Chí Minh,TP. Hồ Chí Minh,09 46 26 90 26,TP.HCM,Bmw,22
BMW Bình Dương,"56 Đại Lộ Bình Dương, Tổ 15 , KP Bình Giao, Phường Thuận Giao, TP. Thuận An, Tỉnh Bình Dương",0901.889.798,Bình Dương,Bmw,20
Lexus Trung tâm Sài Gòn,"264 Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, TP. Hồ Chí Minh",090.113.1193,TP.HCM,Lexus,5
Audi Hồ Chí Minh,"6B Lầu 1 Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP.HCM",0937.979.080,TP.HCM,Audi,12
Audi Tân Bình,"Lô IV-22 Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",0902.10.55.99,TP.HCM,Audi,18
Audi Phú Mỹ Hưng,"Đường Nguyễn Văn Linh, Quận 7, TP.HCM",0928.797997,TP.HCM,Audi,21
Subaru Phú Mỹ,"Lô D3 đường D1, KCN Cát Lái, Phường Thạnh Mỹ Lợi, TP.Thủ Đức, TP.HCM",0968.090.209,TP.HCM,Subaru,5
Peugeot Phú Mỹ Hưng,"330 Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, TP.HCM",0932.007.378,TP.HCM,,8
Suzuki Nam Định,"Đại Lộ Thiên Trường, TP. Nam Định, Tỉnh Nam Định",0847.904.333,Nam Định,Suzuki,8
MG Vinh,"Số 73 Đại Lộ Lê-Nin, Phường Hà Huy Tập, TP. Vinh, Nghệ An",0969828737,Nghệ An,,5
VinFast VCC Landmark 81,"Khu Đô Thị Vincom Central Park, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast VMM Thảo Điền,"Vincom Mega Mall Thảo Điền, 159 Xa lộ Hà Nội, Phường Thảo Điền, TP. Thủ Đức, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast VCP Lê Văn Việt,"Vincom Plaza Lê Văn Việt, 50 Lê Văn Việt, Phường Hiệp Phú, TP. Thủ Đức, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Quang Trung,"Vincom Plaza Quang Trung, 190 Quang Trung, Phường 10, Quận Gò Vấp, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Phú Mỹ Hưng,"1489 Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Trường Chinh,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast An Thái,"Số 464 đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Sài Gòn,"Dạ Nam, Phường 3, Quận 8, TP. HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Đồng Khởi,"Số 72 Lê Thánh Tôn và 45A Lý Tự Trọng, P. Bến Nghé, Q.1, Thành phố Hồ Chí Minh",0899.49.04.07,TP.HCM,Vinfas,8
VinFast 3 Tháng 2,"3C Đường 3/2, Phường 11, Quận 10, TP. HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Cộng Hoà,"447A Cộng Hoà, Phường 15, Quận Tân Bình, TP. HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Gò Vấp,"786B Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Bình Thạnh,"382 Bạch Đằng, Phường 14, Quận Bình Thạnh, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Nhà Bè,"770 Nguyễn Văn Tạo, Phường Hiệp Phước, Huyện Nhà Bè, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Quận 12,"Quốc Lộ 1A, Phường Thạnh Xuân, Quận 12, TP.HCM",0899.49.04.07,TP.HCM,Vinfas,8
VinFast Trần Duy Hưng,"119 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Ocean Park,"Tầng 1, TTTM Vincom Ocean Park, Khu đô thị Vinhomes Ocean Park - Cổng vận hành số 1, Kiêu Kỵ, Gia Lâm, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Miền Bắc,"Tòa nhà Symphony, Đường Chu Huy Mân, Vinhomes Riverside, Quận Long Biên, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Phạm Ngọc Thạch,"Vincom Center Phạm Ngọc Thạch, Số 2 Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast VMM Times City,"Vincom Mega Mall Times City, 458 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Tràng An,"68 Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Phạm Văn Đồng,"138 Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
Showroom VinFast Vinsmart City,"Đại Lộ Thăng Long, Phường Tây Mỗ, Quận Từ Liêm, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
Showroom VinFast Tây Hồ,"612 Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội.",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Newway,"183 Yên Lãng , Phường Thịnh Quang, Quận Đống Đa, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Giải Phóng,"Số 9 Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Thăng Long,"Lê Quang Đạo, Phường Mỹ Đình, Quận Nam Từ Liêm, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Nguyễn Văn Linh,"Số 1 Nguyễn Văn Linh, P.Gia Thụy, Quận Long Biên, Thành phố Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Hà Nội,"Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
Showroom VinFast Hà Thành,"162 Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
VinFast Quốc Oai,"Khu công nghiệp Thạch Thất - Quốc Oai, Thị Trấn Quốc Oai, Huyện Quốc Oai, Hà Nội",0899.49.04.07,Hà Nội,Vinfas,8
Showroom VinFast Ngô Quyền,"Tầng 1 Vincom, 910 A Phường An Hải Bắc, Quận Sơn Trà, TP. Đà Nẵng",0899.49.04.07,Đà Nẵng,Vinfas,8
VinFast Hải Châu,"115 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Thành phố Đà Nẵng",0899.49.04.07,Đà Nẵng,Vinfas,8
VinFast Đăk Lăk,"Ybih Aleo, Phường Tân Lợi, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk",0899.49.04.07,Đắk Lắk,Vinfas,8
VinFast Biên Hòa,"Quốc Lộ 1, Khu Phố 2, Phường Long Bình, TP. Biên Hoà, Đồng Nai",0899.49.04.07,Đồng Nai,Vinfas,8
VinFast Đồng Tháp,"TTTM Vincom Số 02 Đường 30/4, Phường 1, Thành phố Cao Lãnh, Tỉnh Đồng Tháp",0899.49.04.07,Đồng Tháp,Vinfas,8
VinFast Kon Tum,"Vincom KonTum, 02 Phan Đình Phùng, Phường Quyết Thắng, TP. KonTum, Tỉnh KonTum",0899.49.04.07,Gia Lai,Vinfas,8
VinFast Hà Giang,TP. Hà Giang,0899.49.04.07,Hà Giang,Vinfas,8
VinFast An Giang,"Trần Hưng Đạo, Phường Mỹ Bình, Thành Phố Long Xuyên, Tỉnh An Giang",0899.49.04.07,An Giang,Vinfas,8
VinFast Vũng Tàu,"Quốc Lộ 51A, Phước Trung, TP. Bà Rịa, Tỉnh Bà Rịa Vũng Tàu",0899.49.04.07,Bà Rịa - Vũng Tàu,Vinfas,8
VinFast Bạc Liêu,"Tầng 1 TTTM Vincom Plaza Bạc Liêu, 109 Trần Huỳnh, phường 7, Thành phố Bạc Liêu, Tỉnh Bạc Liêu",0899.49.04.07,Bạc Liêu,Vinfas,8
VinFast Bắc Kạn,"Vincom Plaza Bắc Kạn, 48 Trường Chinh, phường Phùng Chí Kiên, TP. Bắc Cạn",0899.49.04.07,Bắc Cạn,Vinfas,8
VinFast Quang Tuấn Bắc Giang,"Dãy 1, Nguyễn Thị Minh Khai, TP Bắc Giang",0899.49.04.07,Bắc Giang,Vinfas,8
VinFast Đào Dương Bắc Giang,"Lô ATM 2 khu đô thị phía Nam, thôn Xuân, Xã Tân Tiến, Thành phố Bắc Giang, Tỉnh Bắc Giang",0899.49.04.07,Bắc Giang,Vinfas,8
VinFast Bến Tre,"Tầng 1 TTTM Vincom Plaza Bến Tre, Số 49C Đại Lộ Đồng Khởi, Phường Phú Khương, TP. Bến Tre, Tỉnh Bến Tre",0899.49.04.07,Bến Tre,Vinfas,8
VinFast Nam Thái,"Đại lộ Bình Dương, Khu Phố Bình Đức 2, Phường Bình Hòa, TP. Thuận An, Tỉnh Bình Dương",0899.49.04.07,Bình Dương,Vinfas,8
VinFast Dĩ An,"Tầng L1 TTTM Vincom Plaza Dĩ An, Số 79 đường ĐT 743B, Phường Dĩ An, TP. Dĩ An, Bình Dương",0899.49.04.07,Bình Dương,Vinfas,8
VinFast Bình Phước,"Lô H6, 1 phần Lô H7, Đường D1, KCN Bắc Đồng Phú, Thị trấn Tân Phú, Huyện Đồng Phú, Tỉnh Bình Phước",0899.49.04.07,Bình Phước,Vinfas,8
VinFast Bình Thuận,"171-173 Lê Hồng Phong, Phú Trinh, TP. Phan Thiết, Tỉnh Bình Thuận",0899.49.04.07,Bình Thuận,Vinfas,8
VinFast Cà Mau,"139 Nguyễn Tất Thành, Phường 8, Thành Phố Cà Mau, Tỉnh Cà Mau",0899.49.04.07,Cà Mau,Vinfas,8
VinFast Cao Bằng,Cao Bằng,0899.49.04.07,Cao Bằng,Vinfas,8
VinFast VCP Hùng Vương,"Vincom Plaza Hùng Vương, Số 2 Đường Hùng Vương, Phường Thới Bình, Quận Ninh Kiều, TP. Cần Thơ",0899.49.04.07,Cần Thơ,Vinfas,8
VinFast Cần Thơ,"Số 274 Đường 30/4, Phường Hưng Lợi, Quận Ninh Kiều, TP. Cần Thơ",0899.49.04.07,Cần Thơ,Vinfas,8
VinFast Xuân Khánh,"Tầng L1, TTTM Vincom Plaza Xuân Khánh, Số 209 Đường 30 Tháng 4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ",0899.49.04.07,Cần Thơ,Vinfas,8
VinFast Hà Tĩnh,"Tầng 1, TTTM Vincom Plaza Hà Tĩnh, Góc Ngã Tư Đường Hà Huy Tập và Đường Hàm Nghi, Phường Hà Huy Tập, TP. Hà Tĩnh",0899.49.04.07,Hà Tĩnh,Vinfas,8
VinFast Âu Lạc,"Số 1248 Nguyễn Bỉnh Khiêm, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng",0899.49.04.07,Hải Phòng,Vinfas,6
VinFast Hoà Bình,"TTTM Shophose Hòa Bình, Đường Cù Chính Lan, Phường Đồng Tiến, TP. Hòa Bình, Tỉnh Hòa Bình",0899.49.04.07,Hòa Bình,Vinfas,8
VinFast Hà Nam,"Tầng 1, TTTM Vincom Plaza Phủ Lý, Phường Minh Khai, Thành phố Phủ Lý, Tỉnh Hà Nam",0899.49.04.07,Hà Nam,Vinfas,8
VinFast Hậu Giang,"Vincom Hậu Giang, TP. Vị Thanh, Tỉnh Hậu Giang",0899.49.04.07,Hậu Giang,Vinfas,8
VinFast Hưng Yên,"88 Phạm Bạch Hổ, Phường Lam Sơn, TP. Hưng Yên",0899.49.04.07,Hưng Yên,Vinfas,8
VinFast VCP Trần Phú,"Vincom Plaza Trần Phú, Ngã Tư Trần Phú và Trần Quang Khải, TP. Nha Trang, Tỉnh Khánh Hòa",0899.49.04.07,Khánh Hòa,Vinfas,8
VinFast Thái Nguyên - Nha Trang,"Tầng 1, TTTM Vincom Plaza Thái Nguyên, 60 Thái Nguyên, P. Phương Sài, Thành phố Nha Trang, Tỉnh Khánh Hòa",0899.49.04.07,Khánh Hòa,Vinfas,8
VinFast Kiên Giang,"Tầng L1, TTTM Vincom Plaza Kiên Giang, Lô A12, Khu phố 1, Đường Cô Bắc, Phường Vĩnh Bảo, TP. Rạch Giá, Kiên Giang",0899.49.04.07,Kiên Giang,Vinfas,8
VinFast KonTum,"Số 02 Đường Phan Đình Phùng, Phường Quyết Thắng, Thành phố Kon Tum, Tỉnh Kon Tum",0899.49.04.07,KonTum,Vinfas,8
VinFast Lai Châu,"Đường 30 Tháng 4, Tổ 18, Phường Tân Phong, TP. Lai Châu, Tỉnh Lai Châu",0899.49.04.07,Lai Châu,Vinfas,8
VinFast Hoàng Hải Lào Cai,"Ngã Tư B4, Đại Lộ Trần Hưng Đạo, Tổ 8, Phường Nam Cường, Thành phố Lào Cai, Tỉnh Lào Cai",0899.49.04.07,Lào Cai,Vinfas,8
VinFast Lạng Sơn,"TTTM Vincom, Phía Nam Cầu Kỳ Lừa, Phường Chi Lăng, Thành phố Lạng Sơn, Tỉnh Lạng Sơn",0899.49.04.07,Lạng Sơn,Vinfas,8
VinFast Đà Lạt,"Số 22 Đường Ba Tháng Tư, Phường 3, TP. Đà Lạt, Lâm Đồng",0899.49.04.07,Lâm Đồng,Vinfas,8
VinFast VCP Bảo Lộc,"Vincom Plaza Bảo Lộc, 83 Lê Hồng Phong, Phường 1, TP. Bảo Lộc, Tỉnh Lâm Đồng",0899.49.04.07,Lâm Đồng,Vinfas,8
VinFast Long An,"Tầng 1 Vincom Plaza Tân An, Góc đường Hùng Vương và đường Mai Thị Tốt, Phường 2, TP. Tân An, Tỉnh Long An",0899.49.04.07,Long An,Vinfas,8
VinFast Nam Định,"Đại lộ Thiên Trường, Phường Lộc Hòa, TP. Nam Định",0899.49.04.07,Nam Định,Vinfas,8
VinFast Vinh,"Đường 72m, Phường Hà Huy Tập, Thành Phố Vinh, Tỉnh Nghệ An",0899.49.04.07,Nghệ An,Vinfas,8
VinFast Ninh Bình,"1065 Trần Hưng Đạo, Phường Vân Giang, TP. Ninh Bình, Tỉnh Ninh Bình",0899.49.04.07,Ninh Bình,Vinfas,8
VinFast Ninh Thuận,"122 Mười Sáu Tháng Tư, Mỹ Hải, Thành phố Phan Rang-Tháp Chàm, Tỉnh Ninh Thuận",0899.49.04.07,Ninh Thuận,Vinfas,8
VinFast Duy Hùng - VinFast Phú Thọ,"Khu 11, Xã Phú Lộc, Huyện Phù Ninh, Tỉnh Phú Thọ",0899.49.04.07,Phú Thọ,Vinfas,8
VinFast Việt Trì,"Tầng 1, TTTM Vincom Plaza Viêt Trì, Đường Hùng Vương, Phường Tiên Cát, Thành phố Việt Trì, Tỉnh Phú Thọ",0899.49.04.07,Phú Thọ,Vinfas,8
VinFast Thành Thành Phát 1,"Đại Lộ Hùng Vương, Khu 4, Phường Vân Phú, Thành phố Việt Trì, Tỉnh Phú Thọ",0899.49.04.07,Phú Thọ,Vinfas,8
VinFast Phú Yên,"Vincom Plaza Tuy Hoà, Góc Đông Bắc ngã tư đường Hùng Vương và đường Trần Phú, Phường 7, TP. Tuy Hoà, Phú Yên",0899.49.04.07,Phú Yên,Vinfas,8
VinFast Đồng Hới,"Tầng 1, TTTM Vincom Plaza Đồng Hới, Quách Xuân Kỳ, Phường Đồng Hải, TP. Đồng Hới, Tỉnh Quảng Bình",0899.49.04.07,Quảng Bình,Vinfas,8
VinFast Phúc Thành,"306 Lý Thường Kiệt, Phường Đồng Phú, TP. Đồng Hới, Tỉnh Quảng Bình",0899.49.04.07,Quảng Bình,Vinfas,8
VinFast Quảng Nam,"Vincom Plaza, Phường An Mỹ, TP. Tam Kỳ, Tỉnh Quảng Nam",0899.49.04.07,Quảng Nam,Vinfas,8
VinFast Quảng Ngãi,"Vincom Quảng Ngãi, số 26, đường Lê Thánh Tôn, Phường Nghĩa Chánh, TP. Quảng Ngãi, Tỉnh Quảng Ngãi",0899.49.04.07,Quảng Ngãi,Vinfas,8
VinFast VCP Hạ Long,"Vincom Plaza Hạ Long, Khu Cột Đồng Hồ, Phường Bạch Đằng, Thành Phố Hạ Long, Tỉnh Quảng Ninh",0899.49.04.07,Quảng Ninh,Vinfas,8
VinFast Cẩm Phả,"Tổ 5, Khu Diêm Thủy, TP. Cẩm Phả, Tỉnh Quảng Ninh",0899.49.04.07,Quảng Ninh,Vinfas,8
VinFast Quảng Trị,"Số 133 đường Lê Duẩn, Thị trấn Ái Tử, Huyện Triệu Phong, Tỉnh Quảng Trị",0899.49.04.07,Quảng Trị,Vinfas,8
VinFast Sóc Trăng,"Tầng 1, TTTM Vincom Plaza Sóc Trăng, Số 20-22 Trần Hưng Đạo, Khóm 1, P.2, Thành phố Sóc Trăng, Tỉnh Sóc Trăng",0899.49.04.07,Sóc Trăng,Vinfas,8
VinFast Sơn La,"Tầng 1, TTTM Vincom Plaza Sơn La, Tổ 3, Phường Quyết Thắng, TP. Sơn La, Tỉnh Sơn La",0899.49.04.07,Sơn La,Vinfas,8
VinFast Tây Ninh,"Vincom Tây Ninh, Số 444 Đường 30/4, Phường 3, TP. Tây Ninh, Tỉnh Tây Ninh",0899.49.04.07,Tây Ninh,Vinfas,8
VinFast Thăng Long Auto - VinFast Thái Bình,"Đại Lộ Kỳ Đồng - Khu Đô Thị Thái Bình Dragon City, TP. Thái Bình",0899.49.04.07,Thái Bình,Vinfas,8
