Name,Address,Phone,Province
HUYNDAI AN PHÚ - Công Ty Cổ Phần MPC Auto An Phú,"Số 5A Nguyễn Thị Minh Khai, P. Bến Nghé, Q. 1, Tp. Hồ Chí Minh (TPHCM)",0778078878                              ,Tp. Hồ Chí Minh (TPHCM)
Công Ty TNHH Sao Mai Anh,"174 Đường 23 Tháng 10, Phương Sơn, Tp. Nha Trang, Khánh Hòa",(0258) 3821164                                 ,Khánh Hòa
Công Ty Dịch Vụ Vận Tải VM Car,"91 Nguyễn Thị Minh Khai, Hội An, Quảng Nam",0917126661                              ,Quảng Nam
Hyundai Vũng Tàu - Đại Lý TC Motor,"Số 611, QL 51, P. Long Hương, Tp. Bà Rịa, Bà Rịa-Vũng Tàu","Hotline : 0933 222 638 (Zalo, Viber... )",Bà Rịa-Vũng Tàu
Công Ty TNHH Sản Xuất Và Thương Mại Khang Thịnh,"VPGD: Tòa nhà An Huy, Lô 1+2 GD1, KCN Ngọc Hồi, K14 Đường Ngọc Hồi, H. Thanh Trì, Hà Nội","(024) 38235235, 36811428                      ",Hà Nội
VinaMotor - Tổng Công Ty Công Nghiệp Ô Tô Việt Nam - CTCP,"120 Hàng Trống, Q. Hoàn Kiếm, Hà Nội",0961162255                              ,Hà Nội
Công Ty TNHH Ô Tô Trường Thành,"Quốc Lộ 3, Thôn Du Nội, X. Mai Lâm, H. Đông Anh, Hà Nội",(024) 36500478                                ,Hà Nội
Xí Nghiệp Xe Bus Đà Nẵng,"Khu C3, 493 Trần Cao Vân, Q. Thanh Khê, Tp. Đà Nẵng",(0236) 3711468                                 ,Tp. Đà Nẵng
Công Ty TNHH Thương Mại Và Đầu Tư E-CAR Việt Nam,"Số 243 Nguyễn Văn Linh, Q. Long Biên, Hà Nội",0934459455                              ,Hà Nội
Tổng Công Ty Xe Tải Nhập Khẩu,"720 - 722 QL1A, P. Thới An, Q.12, Tp. Hồ Chí Minh (TPHCM)",0909760361                              ,Tp. Hồ Chí Minh (TPHCM)
Ford Việt Nam - Công Ty TNHH Ford Việt Nam,"Tầng6, Tòa Nhà Mặt Trời Sông Hồng, 23 Phan Chu Trinh, Q. Hoàn Kiếm, Hà Nội",(024) 39331282                                ,Hà Nội
Công Ty Cổ Phần Đầu Tư Thương Mại Ford An Đô,"168 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",0237 505 055                            ,Hà Nội
Công Ty TNHH Ô tô Hoàng Gia,"1374A QL1A Phường Thới An, Quận 12, Tp. Hồ Chí Minh (TPHCM)",(028) 37175678                                ,Tp. Hồ Chí Minh (TPHCM)
Toyota Thăng Long,"316 Cầu Giấy, P. Dịch Vọng, Q. Cầu Giấy, Hà Nội",0946173333                              ,Hà Nội
Doanh Nghiệp Tư Nhân Đức Trị,"218/7 KP1, Phường Tân Hiệp, Tp.Biên Hòa, Đồng Nai",0937009961                              ,Đồng Nai
Công Ty TNHH Thương Mại Ô Tô Việt Hàn,"Số 1 C24, Phố Tân Mai, P. Tân Mai, Q. Hoàng Mai, Hà Nội",0984422488                              ,Hà Nội
Công Ty Cổ Phần Thiên Thành An,"Tầng 4, Tòa Nhà ATS, Số 8 Phạm Hùng, Q. Nam Từ Liêm, Hà Nội",(024) 32005997                                ,Hà Nội
Trí Lực - Công Ty TNHH Trí Lực,Khu 8 Hải Hoà - TP Móng Cái - Quảng Ninh Quảng Ninh,(0203) 2462379                                 ,Quảng Ninh
Công Ty TNHH Hồng Sơn,"Tổ Dân Phố Trường Thọ Đông A, P. Trương Quang Trọng, TP. Quảng Ngãi, Quảng Ngãi",(0255) 3830830                                 ,Quảng Ngãi
Công Ty Cổ Phần Ô Tô Quốc Tuấn,"Số 20 Đường 2A, KCN. Biên Hòa II, Đồng Nai",(0251) 3992246                                 ,Đồng Nai
Công Ty TNHH Đầu Tư Dịch Vụ Và Thương Mại Miền Bắc,"Phòng 212, Nhà CT5, Trần Hữu Dực, H. Từ Liêm, Hà Nội","(024) 60278044, 0914525310                    ",Hà Nội
Công Ty TNHH Thương Mại Và Dịch Vụ Hyundai Ngọc Khánh,"141 Phạm Văn Đồng, Từ Liêm, Hà Nội",(024) 37556408                                ,Hà Nội
Công Ty Cổ Phần Ô Tô Hyundai - Việt Hàn,"158 Cách Mạng Tháng Tám, Q. Cẩm Lệ, Tp. Đà Nẵng",(0236) 3698399                                 ,Tp. Đà Nẵng
