,uid,Name,Status,Members,Posts_per_day,Group
93,1534734706537385,Chợ Audio Hà Nội,Public,1600,10+ posts a day,Car
94,5528747567181742,Hội Audi Việt Nam,Public,13000,5 posts a week,Car
95,1055990294554999,Audio Altec Hà Nội,Public,6800,10+ posts a day,Car
100,388307711572703,Crown Poker - Thông tin giải đấu,Public,1800,2 posts a year,Car
103,1214121305798666,A1 - k46 Hoàng Cầu,Private,48,2 posts a week,Car
105,1606474239656954,Fingerprint Education,Public,79000,7 posts a week,Car
110,921825168487220,HỘI MITSUBISHI VIỆT NAM ✅,Public,38000,3 posts a week,Car
113,577334870148850,HỘI NISSAN VIỆT NAM ✅,Public,34000,2 posts a week,Car
114,912362126374219,HỘI MAZDA VIỆT NAM ✅,Public,15000,2 posts a week,Car
115,1635402936688629,"Lớp 8B,9H,10H-trường PTCN HN 1973-1976( số8- hai bà trưng- Hà Nội)",Private,51,10 posts a week,Car
122,1002228147437742,"HỘI XE ĐỨC Mercedes, BMW, Porsche, Audi Việt Nam™ (ClubVN)",Public,82,2 posts a week,Car
123,1809286869246740,Hội xe AUDI Việt Nam®,Public,74000,2 posts a day,Car
126,145091529302981,Chevrolet Trax Club™- VietNam,Public,4200,4 posts a day,Car
166,469590540811447,Hội Mazda 3 Việt Nam™ (Mazda3ClubVN),Private,249000,10+ posts a day,Car
167,324831034370901,Mazda 3 Club - Viet Nam,Private,113000,10+ posts a day,Car
168,232692427284569,Club Mazda Hà Nội,Public,7700,3 posts a day,Car
169,862756254319270,Hội Mazda 6 Việt Nam™ (Mazda6ClubVN),Private,134000,10+ posts a day,Car
170,1333081960095316,Hội Mazda 3 Việt Nam™ (M3ClubVN),Private,219000,10+ posts a day,Car
171,166471530715064,Mazda Việt Nam Club - MazdaConnect.Club,Private,7600,,Car
172,768856156654124,Hội Mazda Việt Nam™ (MazdaClubVN),Public,38000,10+ posts a day,Car
173,1725354537782754,Hội Mazda 6 Việt Nam™ (M6ClubVN),Private,96000,10+ posts a day,Car
174,1095712687454378,Hội Mazda3 Việt Nam (MazdaClubVN),Private,62000,10+ posts a day,Car
175,308272256236130,Hội Mazda 2 Việt Nam™ (M2ClubVN),Private,65000,10+ posts a day,Car
178,155906481712187,Mazda3 Hà Nội Club,Public,6200,10 posts a day,Car
179,872364582924376,"Hội Mazda BT-50, BT50 Việt Nam™ (BT-50ClubVN)",Private,55000,10+ posts a day,Car
180,660276590773714,"Hội Mazda CX-5, CX5 Việt Nam (CX-5ClubVN)",Private,136000,10+ posts a day,Car
181,205093836752488,Hội Mazda 3 Việt nam Club,Private,3000,3 posts a day,Car
182,331727170254936,"Hội Mazda CX-5, CX5 Việt Nam® (CX-5ClubVN)",Private,20000,10+ posts a day,Car
183,518470401605162,HỘI MAZDA CX8 HÀ NỘI,Public,3800,4 posts a day,Car
184,1263746723776617,"Hội Mazda CX-8, CX8 Việt Nam™ (CX-8ClubVN)",Private,19,,Car
198,881111212589044,HỘI HONDA VIỆT NAM ✅,Public,13000,6 posts a month,Car
201,1651065691773754,Chợ Gopro - Máy Ảnh - Máy Quay - Phụ Kiện,Public,25000,10+ posts a day,Car
207,1565684933706312,Mazda Club (Saigon),Private,9200,,Car
208,464000328235439,"Hội Mazda CX-5, CX5 Việt Nam™ (CX-5ClubVietNam)",Private,201000,10+ posts a day,Car
209,226135322646564,Hội Mazda3 Việt Nam® (Mazda3ClubVN),Private,28000,10 posts a day,Car
210,420119818550185,"Hội Mazda CX-8, CX8 Việt Nam™ (CX-8ClubVN)",Private,65000,10+ posts a day,Car
211,145226800807241,"Hội Mazda CX3, CX-30 Việt Nam™ (MazdaCX3,CX-30ClubVn)",Private,48000,7 posts a day,Car
251,4026700870757968,ANH EM LÁI XE TAXI MAI LINH HÀ NỘI,Private,267,,Car
252,251680690280676,TAXI MAI LINH CAO BẰNG .Lh.0915-800-797,Public,1100,6 posts a week,Car
253,1414381825299447,Taxi Mai Linh Bắc Ninh,Public,681,4 posts a year,Car
254,328565955761222,taxi mai linh bắc giang,Public,339,3 posts a month,Car
255,239252803159334,ANH EM LÁI XE TAXI MAI LINH,Public,37000,2 posts a day,Car
256,629878897167877,Taxi Mai Linh Đồng Tháp,Public,92,6 posts a year,Car
257,248263639441364,Taxi Mai Linh Quảng Ngãi,Private,1500,2 posts a day,Car
258,2217618531848015,HỘI XE TAXI MAi LiNH PHú Thọ,Public,21,,Car
259,256212837890595,Taxi Mai Linh Thái Nguyên,Public,3200,4 posts a month,Car
260,627730312294606,Taxi Hà Nội - Nội Bài Đi tỉnh giá rẻ,Public,46,3 posts a month,Car
261,566404666892225,Hội Taxi Sân bay Nội Bài Hà Nội đi các tỉnh giá rẻ,Private,69000,10+ posts a day,Car
262,861031968391853,Taxi Mê Linh - Hà Nội,Public,16000,5 posts a day,Car
263,183098110171746,TAXI NỘI BÀI - HÀ NỘI ĐI CÁC TỈNH GIÁ RẺ,Public,22000,10 posts a day,Car
264,322460405113849,Hội Anh Em TAXI GROUP HÀ NỘI,Public,6200,2 posts a week,Car
265,944599182386058,Tổng hội Grab-Taxi-Uber-Thuê xe tự lái Hà Nội,Public,491,7 posts a year,Car
266,180893687413584,Taxi Grap Hà Nội (taxi công nghệ),Public,2000,7 posts a day,Car
267,325138179026089,Xe Nội Bài - Taxi Nội Bài Giá Rẻ 0354828668,Public,2500,10 posts a day,Car
268,386138125208001,Hội Taxi Sân Bay Nội Bài - Hà Nội Đi Các Tỉnh Giá Rẻ,Public,11000,10+ posts a day,Car
269,860785974632082,Hội Taxi Sân Bay Nội Bài Hà Nội đi Các Tỉnh giá rẻ,Public,2200,3 posts a week,Car
270,460773361606743,Hội xe taxi HÀ NỘI đi các tỉnh miền bắc giá rẻ,Public,9200,10 posts a day,Car
273,1085992801889025,Review Dịch vụ taxi Sân Bay Cam Ranh,Private,697,4 posts a day,Car
274,343451319385093,ITRUM Community,Private,3000,,Car
275,413347073077408,$6.99 Great Clips Coupon Printable 2023 In-store Online,Public,496,10 posts a year,Car
276,814497169646126,Taxi Đưa Đón Sân Bay Nội Bài Hà Nội Giá Rẻ - Uy Tín - Đúng Hẹn,Public,196,5 posts a month,Car
277,634417427117666,Taxi Vĩnh phúc - Hà nội,Private,4900,,Car
278,874104859969215,Taxi Nội Bài Hà Nội giá rẻ,Public,3700,5 posts a day,Car
279,1260418914093023,ANH EM TAXI VIỆT NAM,Public,28000,9 posts a day,Car
280,9.36364881365264E+015,Taxi Vinhome Grand Park - Xe nhà thoải mái đi xa,Private,42,,Car
281,1678234885521537,OTO-HUI GROUP,Public,18000,8 posts a month,Car
282,1459987750984153,🚗 MUA BÁN Ô TÔ CŨ VÀ MỚI HÀ NỘI ✅,Private,200000,10+ posts a day,Car
283,912734495770616,Cộng Đồng Garage Ôtô Toàn Quốc - GVN,Public,7100,10+ posts a day,Car
284,1710418129191729,Mua Bán Trao Đổi Ôtô Cũ Mới Hà Nội,Public,68000,10+ posts a day,Car
285,1753300474883258,Chợ Ôtô Hà Nội,Public,62000,10+ posts a day,Car
286,365346650258127,SIÊU THỊ ÔTÔ CŨ TOÀN QUỐC - Kinh Nghiệm mua Oto Cũ Giá Rẻ,Private,114000,10+ posts a day,Car
287,2442945025745564,MUA & BÁN XE ÔTÔ CŨ MB,Public,29000,10+ posts a day,Car
288,1036574196377617,Hội Mua Bán Ôtô Chính Chủ,Private,63000,10+ posts a day,Car
289,379311585563914,Mua bán oto cũ hà nội,Public,1900,10 posts a day,Car
290,193060939367849,Team WinnerX Hà Nội Club,Public,2100,10 posts a week,Car
291,490175795426355,Hội Toyota Fortuner Việt Nam™ (FortunerClubVN),Private,196000,10+ posts a day,Car
292,460014667761823,Hội Hyundai Grand I10 Hà Nội,Private,68000,10+ posts a day,Car
293,277354040716658,Hội Toyota Fortuner Việt Nam ( Fortuner Hà Nội ),Private,3600,10 posts a day,Car
294,329323451661831,Club Scoopy 110 Hà Nội,Public,2200,6 posts a day,Car
295,133720230689757,Vision Club Hà Nội,Private,45000,10 posts a day,Car
296,7324590494233122,Hội Toyota Innova Việt Nam ( innova Hà Nội ),Private,26000,10 posts a day,Car
297,1538669969698747,Hội Cafe Racer Hà Nội,Private,42000,9 posts a day,Car
300,250144436614633,NGHIỆN Lacoste 🐊,Private,3500,10 posts a day,Car
318,962473360542421,Yamaha YB125sp & Phụ tùng Môtô,Public,13000,7 posts a day,Car
319,1154353924747317,Hội yêu thích future neo fi,Private,100000,7 posts a day,Car
320,738351963009972,Brixton BX125/150 Việt Nam fans ☑,Private,48000,,Car
321,623420331181670,"Chợ Phụ Tùng Ninja 300, Ninja 400, Z300, Z400, R3, MT03 Việt Nam",Public,12000,10+ posts a day,Car
322,1813632352061076,Hội Yamaha WR155 - Honda XR150 - Honda CRF150 - Honda CRF300 Viet Nam,Public,20000,3 posts a day,Car
323,358706851470100,Hội Honda Brio Việt Nam™ (HondaBrioClubVN),Private,15000,10+ posts a day,Car
324,327988488037325,Vsmart Fans Club,Public,72000,10+ posts a day,Car
325,218852948169986,cộng đồng Fixed Gear Việt Nam,Public,110000,10+ posts a day,Car
364,1078527779338850,Hội Ford Focus Việt Nam™ (FocusClubVN),Private,58000,2 posts a day,Car
365,941338859647610,Hội Ford Ecosport,Public,11000,10+ posts a day,Car
366,1587621114860817,Đại Lý ÔTô Ford,Public,184,5 posts a month,Car
367,278846966173480,Hội Mua Bán Xe Oto Cũ,Private,165000,10+ posts a day,Car
368,1853918641540462,Hội Ford Ecosport,Private,41000,10+ posts a day,Car
369,899813136878653,Hội Ford EcoSport Việt Nam™ (EcoSportClubVN),Private,44000,10+ posts a day,Car
370,3627949107288974,Chợ Mua Bán ÔTÔ Hà Nam,Public,3500,3 posts a day,Car
371,2029320927192266,MUA VÀ BÁN XE  ÔTÔ ĐÃ QUA SỬ DỤNG 🚘🚙🚘,Public,269000,10+ posts a day,Car
373,2161864060728407,Hội Ford Everest Việt Nam™ (EverestClubVN),Private,119000,10+ posts a day,Car
375,1216588408470141,Mua bán xe Ford Ranger,Private,31000,10+ posts a day,Car
376,295560372028876,Hội Ford EcoSport Việt Nam® (EcoSportClubVN),Private,21000,7 posts a day,Car
377,818014025245695,Chợ Ford Focus,Private,8000,10 posts a day,Car
378,316358101903546,Hội Ford Focus,Private,8600,3 posts a day,Car
379,288398541781828,Hội Ford Escape Việt Nam™ (EscapeClubVN),Private,13000,10+ posts a day,Car
380,499717304931502,"Hội Mua Bán Xe Ford Việt Nam ™ ( Ford Ranger , Everest , Territory ...)",Public,313,7 posts a week,Car
381,108337229205765,i30 Club Việt Nam,Private,4100,3 posts a day,Car
401,249156875745399,Hội Ford Explorer Việt Nam™ (ExplorerClubVN),Private,40000,10+ posts a day,Car
402,1759657300907612,Hội Ford Everest Việt Nam™ (EverestClubVN),Private,157000,10+ posts a day,Car
404,352835298688822,Ford Ranger Club Vietnam 2022,Public,65000,10+ posts a day,Car
405,947598805300974,Ford Focus Sài Gòn,Private,8000,4 posts a day,Car
407,374992327045340,Hội Ford Everest Việt Nam 2023,Public,17000,10 posts a day,Car
443,361569021202604,Hang quỷ Jikey,Private,66000,2 posts a day,Car
446,173594238274380,MUA BÁN OTO CŨ TOÀN QUỐC,Public,6900,10+ posts a day,Car
447,474621835999431,CỘNG ĐỒNG KẾ TOÁN,Public,202000,10 posts a day,Car
448,1317306508820448,Hội Mua Bán Phụ Tùng Ôtô Toàn Quốc,Public,10000,3 posts a day,Car
449,126019104606580,Hội Kế Toán Hà Nội,Public,5200,8 posts a day,Car
450,300261041596863,Chợ oto toàn quốc & đồ chơi xe hơi,Public,30000,5 posts a week,Car
451,1243209609110043,Hội Gara Ôtô Toàn Quốc,Public,10000,10+ posts a day,Car
452,419926386029572,Gear Logitech 2nd  - Mua Bán Trao Đổi Gear LOGITECH Cũ HÀ NỘI - MIỀN BẮC,Public,15000,6 posts a day,Car
453,2007287679321889,Hội yêu thích xe hơi cổ Việt Nam,Public,129000,7 posts a day,Car
454,536676645289626,DOL.Hà Nội - Lớp 5.0+- 24.09.2023 - T7CN- 14:00-17:00,Private,8,,Car
455,254646208969450,hội xe 16 chỗ (FORD transit-HUYNDAI solati...việt nam),Public,17000,10+ posts a day,Car
456,321396972758777,GearUpVN - ở đây chúng ta nói về xe,Public,80000,10 posts a day,Car
457,1564910643820802,Chợ xe Sang - Luxury car,Public,94000,4 posts a day,Car
458,1153433581383602,Hội xe Fortuner Việt Nam-FVN,Private,54000,3 posts a day,Car
459,520262414829372,Hội xe FORD ( Transit) - HUYNDAI ( Solati )( BẮC - TRUNG - NAM ),Public,36000,10+ posts a day,Car
460,200043311097597,JDM Hà Nội -  Hội những người yêu xe thể thao Nhật Bản.,Public,8100,4 posts a week,Car
461,1010516379122377,HỘI GRAND I10 HÀ NỘI GROUP(VIỆT NAM),Private,9800,10+ posts a day,Car
462,422890039057451,Hội Vision Club Hà Nội,Public,53000,10+ posts a day,Car
463,497772683764531,vẽ autocad thuê,Public,31000,2 posts a day,Car
464,263022992819356,Hội Xe Điện VINFAST VF E34 Hà Nội,Private,11000,3 posts a day,Car
465,2464919303803598,"Hội Toyota Vios, Altis, Camry Hà Nội",Public,3000,10+ posts a day,Car
467,994330391801841,DLOC-GEN1,Private,46,,Car
468,260536166400296,HỘI Xe Điện VINFAST VF5 Hà Nội,Public,1600,6 posts a month,Car
469,3296296640471630,hội xe i10,Public,61000,10+ posts a day,Car
470,344544529943535,Xe Sang Siêu Lướt,Public,125000,10+ posts a day,Car
471,537126157047122,"Xe đạp Hà Nội (fixed gear, bmx, MTB, road v.v...)",Public,6600,2 posts a day,Car
473,228101824512206,Hội những người đam mê xe cổ - classic,Public,43000,2 posts a day,Car
474,338189533621534,"Hội Honda HR-V, HRV Việt Nam™ (HR-VClubVN)",Private,43000,10+ posts a day,Car
475,1242684212868358,"Hội Honda HR-V, HRV Việt Nam™ (HR-VClubVN)",Private,61000,6 posts a day,Car
476,1646081055721252,Hội Honda Civic Việt Nam™ (CivicClubVN),Private,190000,10+ posts a day,Car
477,1794607120600198,Honda Cb Việt Nam,Public,56000,10+ posts a day,Car
478,1418446841584619,Hội Honda CRV Vietnam,Public,64000,7 posts a day,Car
479,1810801085897109,Honda CR-V Club Việt Nam,Public,119000,10+ posts a day,Car
480,374587977278982,Honda City Club Việt Nam,Public,43000,10+ posts a day,Car
481,2692290410906371,Hội mua bán Honda Winner X (Hà Nội Group),Public,164,8 posts a day,Car
482,327444572201593,Hội Honda Accord Việt Nam™ (AccordClubVN),Private,33000,4 posts a day,Car
483,1934465953533864,"Honda Rebel 300, 500 & 1100 Hà Nội {official}",Public,9300,6 posts a day,Car
484,275847985933905,Club Honda Msx125 Hà Nội,Public,18000,10 posts a week,Car
485,829906750383216,Honda Winner 150cc Hà Nội ( OFFICIAL),Private,40000,10+ posts a day,Car
486,571458426353987,Honda CB400 Hà Nội,Private,10000,,Car
487,971003799626833,Honda City Club Hà Nội,Public,433,8 posts a month,Car
488,2006206996346959,Honda Brio Club Việt Nam,Public,26000,10+ posts a day,Car
490,686841665285007,PHỤ TÙNG XE MÁY HONDA CHÍNH HÃNG,Public,13000,5 posts a week,Car
491,232257652378808,Hội HonDa Scoopy Hà Nội,Public,2900,4 posts a day,Car
498,315014265614061,Cộng Đồng Những Người Yêu Xe Kia Canival ❤️,Private,1300,4 posts a week,Car
500,152057778710438,HỘI HONDA WINNER ( X ) 150 VIỆT NAM,Private,251000,10+ posts a day,Car
504,392335758826114,Hội Đồ Chơi TiTanium or phụ tùng xe,Public,63000,4 posts a day,Car
508,965226654506922,Chợ Phụ Tùng Oto máy xúc đồ thuỷ lực,Private,18,3 posts a week,Car
509,345783866497183,Phụ Tùng Dream Thái Theo Xe Hà Nội,Public,4500,2 posts a day,Car
513,374735447215596,Honda City - Hội những người đi xe Honda City,Public,48000,10+ posts a day,Car
515,382851682181974,Honda Steed 400 & 600 Việt Nam,Public,20000,5 posts a day,Car
516,202345760249192,HONDA REBEL VIỆT NAM CLUB,Private,7800,8 posts a day,Car
517,2245053295754115,Mua bán - Ký gửi Honda msx 125cc ✅,Public,7100,8 posts a week,Car
518,4862191380522707,Chợ Honda Rebel 300 - 500 - 1100 Việt Nam,Public,5800,8 posts a day,Car
519,363853397437948,Honda CB500X Việt Nam,Private,20000,4 posts a day,Car
520,281415949377597,Hội Honda Accord Việt Nam™ (AccordClubVN),Private,27000,10+ posts a day,Car
559,2269643143170412,"Hội Kia K3, K5 Việt Nam™ (KiaClubVN)",Private,185000,10+ posts a day,Car
560,939263180434178,KIA CARNIVAL Việt Nam Group,Private,55000,10 posts a day,Car
561,334553224845808,Hội Kia Carnival / Kia Sedona Việt Nam™ (SedonaClubVN),Private,100000,10+ posts a day,Car
562,325058722517609,Hội Kia Forte Việt Nam™ (ForteClubVN),Private,45000,4 posts a day,Car
563,503020137674207,Kia Carnival Club,Public,80000,10+ posts a day,Car
564,659738288671561,Hội Kia K5 / Kia Optima Việt Nam™ (OptimaClubVN),Private,51000,10 posts a day,Car
565,314075366884506,Hội Kia Rondo Việt Nam™ (RondoClubVN),Private,44000,10+ posts a day,Car
566,4469203356441154,Hội nhóm mua bán xe kia morning trao đổi kinh nghiệm,Public,3400,10+ posts a day,Car
567,634711856696130,Hội Kia Rio Việt Nam™ (RioClubVN),Private,48000,10+ posts a day,Car
568,1947342832221147,Hội KIA SORENTO Việt Nam™ (SORENTOClubVN),Private,101000,10+ posts a day,Car
569,409657356734104,Kia Sonet Việt Nam,Public,24000,10+ posts a day,Car
570,718572684973603,HỘI KIA MORNING HÀ NỘI,Private,74000,10 posts a day,Car
571,1652413174810921,Hội Kia Morning Việt Nam™ (MorningClubVN),Private,171000,10+ posts a day,Car
572,839960676875907,Hội KIA SORENTO 2024 Việt Nam™ (SORENTOClubVN),Public,135000,10+ posts a day,Car
573,523817287816602,Hội KiA MORNING Hà Nội,Public,3500,20 posts a week,Car
574,141872521236048,Hội Kia Seltos Việt Nam™ (KiaSeltosClubVN),Private,113000,10+ posts a day,Car
575,1473172872976782,KIA K3 CLUB,Private,26000,10+ posts a day,Car
576,425283397918478,"HỘI KIA CERATO, KIA SOLUTO, KIA MORNING VAN, KIA MORNING, KIA K3, SORENTO",Public,7500,10+ posts a day,Car
577,139617716505249,Hàng “ĐA CẤP” giá Rẻ..(0989.994233_0946.994233).. www.myphamthuanhuong.vn..,Public,1700,2 posts a month,Car
579,2018275001740546,XÓM HÀO NAM VUI VẺ 😘😘😘,Private,42,,Car
580,857016997814166,Học thu âm và mix nhạc,Private,15,,Car
581,369769260179353,Hội chợ VIETBUILD,Public,7200,6 posts a day,Car
583,1056984714434467,Havina Network - Gắn kết để lan tỏa,Public,372,,Car
585,242826256265340,Hội Phân Phối Độc Quyền Phụ Kiện & Nội Thất Cao Cấp,Private,86,,Car
586,1549054868947690,Chuyển nhượng tại Masteri West Heights,Public,2100,5 posts a week,Car
587,510647906790440,hãy trao nhau ❤️💫❤️ những gj tốt đẹp nhất,Private,1800,3 posts a week,Car
588,788631711643448,Dân Cư Tam Hiệp - Trao Đổi Các Mặt Hàng Tăng Thu Nhập,Public,5300,8 posts a year,Car
589,1121581088674067,HỘI KIA VIỆT NAM ✅,Public,37000,8 posts a month,Car
590,996609667403497,Gamuda_Happy_Food,Public,623,2 posts a day,Car
591,356267246686507,Giấy khám thai - siêu âm giả lấy ngay,Public,2600,3 posts a year,Car
592,1331894740886652,THÙNG RÁC GIÁ RẺ QUẬN LONG BIÊN H HÀ NỘI - GIẢM GIÁ 50%,Public,2,5 posts a year,Car
593,929099271401402,THÙNG RÁC GIÁ RẺ HOÀI ĐỨC HÀ NỘI - GIẢM GIÁ 50%,Public,1,5 posts a year,Car
596,444083406683581,Điện Tử Điện Lạnh Phùng Khoang,Public,4,,Car
597,307758749582645,CÙNG CON KHÔN LỚN,Public,80,1 post a year,Car
603,288124360141090,Hội Kia Optima/ Kia K5 Việt Nam (OptimaClubVN),Public,19000,10+ posts a day,Car
604,2460280490676899,Hội Kia Rondo Việt Nam™ (RondoClubVN),Private,21000,10+ posts a day,Car
606,298942604545430,Hội KIA SORENTO - KIA CARNIVAL Việt Nam ™,Public,7300,10+ posts a day,Car
646,433525817323901,MUA BÁN XE LEXUS LƯỚT CỦA HỘI LEXUS RX,Public,15000,10+ posts a day,Car
647,609612829664008,"Cộng đồng Lexus Việt Nam ( Mua bán, trao đổi, diễn đàn về xe sang Lexus)",Public,5500,10 posts a day,Car
648,2226247070963246,LEXUS VIỆT NAM,Public,40000,2 posts a week,Car
649,1810046245906459,Lexus Lx570 Club - Việt Nam,Public,25000,10+ posts a day,Car
650,1411301365902541,XE LEXUS ĐÃ QUA SỬ DỤNG - LEXUS USED CARS,Public,22000,8 posts a month,Car
651,564278235758391,Hội Xe Lexus ✔,Public,127000,10 posts a day,Car
652,1189043694854820,Hội Lexus Việt Nam™ (LexusVietNamClub),Private,44000,3 posts a day,Car
653,330853915117171,Hội Lexus RX350 Hà Nội ✅ (Club Lexus HN),Public,3600,10+ posts a day,Car
654,874532230447640,Chợ xe LEXUS,Public,10000,10 posts a day,Car
656,230808189774268,"Hội Lexus LS, ES, IS 500, 350, 300, 250 Việt Nam™ (LexusSClubVN)",Private,16000,10 posts a day,Car
658,591825421413660,Lexus Việt Nam Club™,Public,2600,10 posts a day,Car
659,749329173363232,Hội Phụ Tùng Toyota Lexus Việt Nam ( Toyota Lexus Hà Nội ),Private,59,,Car
660,1304335356833569,"Hội Lexus RX 500, 450, 350, 300, 200 Việt Nam™ (RXClubVN)",Private,16000,10 posts a day,Car
661,566684013494518,Hội LEXUS RX Việt Nam™ (RX-ClubVN),Private,21000,2 posts a day,Car
662,1316661778874587,Hội Toyota Lexus 2019-20... Việt Nam.( Toyota Lexus Hà Nội ),Public,69,8 posts a month,Car
663,1518097961815964,HỘI LEXUS VIỆT NAM,Public,3300,10 posts a day,Car
681,265390507671035,"𝗛𝗼̣̂𝗶 𝗟𝗲𝘅𝘂𝘀, 𝗟𝗲𝘅𝘂𝘀 𝗥𝗫/𝗡𝗫 𝗖𝗹𝘂𝗯 𝗩𝗶𝗲̣̂𝘁 𝗡𝗮𝗺Ⓡ",Public,47000,2 posts a day,Car
683,288180335439208,HỘI YÊU XE LEXUS,Private,36000,4 posts a week,Car
685,384094015465604,Hội Toyota Rush Việt Nam™ (RushClubVN),Private,23000,10+ posts a day,Car
687,1092075891280187,Hội Toyota Camry Việt Nam™ (CamryClubVN),Private,151000,5 posts a day,Car
688,177187640315292,Hội Lexus Việt Nam,Public,7200,10+ posts a day,Car
689,519497885061337,Hội Toyota Camry Việt Nam™ (CamryClubVN),Private,140000,10+ posts a day,Car
726,100733503748442,HỘI LEXUS  RX VIỆT NAM ✅,Private,13000,4 posts a day,Car
727,1197040143792675,LÃNH ĐỊA XE SANG ( MUA - BÁN ) Bentley-Porche-Audi-Mercedes-Lexus ….,Public,2000,10 posts a day,Car
